Download Labels,Descargar etiquetas
Perform on all retrieved records:,Realiza en todos los registros recuperados:
* No action,* Sin acción
Collapse all rows,Contraer todas las filas
Expand all rows,Expandir todas las filas
"Please wait, loading RMA information...","Espere, cargando información de RMA ..."
This action will print PDF for all filtered purchase orders.,Esta acción imprimirá PDF para todas las órdenes de compra filtradas.
Please select a status.,Seleccione un estado.
This action will update status for all filtered RMAs.,Esta acción actualizará el estado de todas las RMA filtradas.
Qty Available,Cantidad disponible
Proceed with tracking ID deletion?,¿Desea eliminar el ID de seguimiento?
Tracking IDs,ID de seguimiento
Delete tracking number,Eliminar número de seguimiento
RMA Items,Artículos de RMA
Carrier Title,Carrier Title
Add Tracking ID,Agregar ID de seguimiento
Add Comment,Agregar comentario
Visible to Customer,Visible para el cliente
Change Status,Cambiar Estado
Resolution Notes,Resolución Notas
Add RMA Comment,Añadir RMA Comentario
Comments history,Historia de los comentarios
My Orders,Mis pedidos
Ship To,Enviar a
View Order,Ver Pedido
Track Order,Orden de pista
Reorder,Reordenar
View RMA,Ver RMA
Request RMA,Solicitud RMA
You have placed no orders.,No has realizado ningún pedido.
Order #%s - %s,Orden #%s -%s
Subscribe to Order Status,Suscribirse al estado del pedido
Print Order,Orden de impresión
About This Order:,Acerca de esta orden:
Order Date: %s,Fecha del Pedido: {0}%s{/0}
No shipping information available,No hay información de envío disponible
Instructions,Instrucciones
Order #%s,Ordenar {0}%s{/0}
Shipment #%s,Embarques
Recent Orders,Pedidos Recientes 
View All,Ver todo
General Notes,Notas generales
RMA Sender,Remitente RMA
RMA Receiver,Receptor RMA
Track this RMA,Seguimiento de este RMA
Print Label,Etiqueta de impresión
Tracking Number(s):,Números de seguimiento):
of %s,De%s
Create New RMA,Crear nueva RMA
Create RMA,Crear RMA
Back to My Orders,Volver a mis pedidos
From Vendor Price,Del precio del proveedor
To Vendor Price,Precio del proveedor
Update Information On This Page,Actualizar información en esta página
About the calendar,Acerca del calendario
DHTML Date/Time Selector,Selector de fecha / hora DHTML
For latest version visit: %s,"Para la versión más reciente, visite:%s"
Distributed under GNU LGPL. See %s for details.,Distribuido bajo GNU LGPL. Consulte%s para obtener más detalles.
Date selection:,Fecha de selección:
"- Use the %s, %s buttons to select year","- Utilice los botones%s,%s para seleccionar el año"
- Use the %s buttons to select month,- Utilice los botones%s para seleccionar el mes
#NAME?,#NOMBRE?
Time selection:,Selección de tiempo:
#NAME?,#NOMBRE?
#NAME?,#NOMBRE?
#NAME?,#NOMBRE?
Prev. year (hold for menu),Anterior. Año (espera para el menú)
Prev. month (hold for menu),Anterior. Mes (espera para menú)
Go Today,Ir hoy
Next month (hold for menu),Mes siguiente (espera para el menú)
Next year (hold for menu),El próximo año (espera para el menú)
Select date,Seleccione la fecha
Drag to move,Arrastre para mover
Display %s first,Mostrar%s primero
Close,Cerrar
(Shift-)Click or drag to change value,(Mayúsculas-) Haga clic o arrastre para cambiar el valor
Time:,Hora:
Skip to Main Content,Saltar al contenido principal
Dashboard,Panel de configuración
Stock POs,Pedidos de acciones
Pending Stock PO,PO pendiente de compra
Commission Percents,Porcentajes de la Comisión
Settings,Ajustes
Import Stock,Importar Acciones
Manage Stock And Price,Gestionar Stock Y Precio
Products Edit,Productos Editar
Select &amp; Sell,Seleccione & amp; Vender
Shipments Report,Informe de envíos
Advanced PO Report,Informe de pedido avanzado
System View,Vista del sistema
Welcome to Dropship Vendor Interface,Bienvenido a la interfaz de Dropship Vendor
Vendor Log in,Proveedor Iniciar sesión
Username / Email Address,Nombre de usuario / dirección de correo electrónico
Login,Ingresa
Vendor Password Reset,Restablecer contraseña de proveedor
Email Address/User name,Dirección de correo electrónico (Nombre de Usuario)
Reset Password,Restablecer la contraseña
Save All Settings,Guarda todos los cambios
Not Applicable,No se aplica
Available for Shipping From Date,Disponible para envío desde la fecha
Available for Shipping To Date,Disponible para envío hasta la fecha
Download Existing Labels Batch,Descargar lote existente de etiquetas
Update Shipments Status,Actualizar el estado de los envíos
Available On,Disponible en
Download,Descargar
Packing Slip,{0}?{/0} {1}       {/1} {2}Hoja de Empaque{/2}
"Please wait, loading shipment information...","Espere, cargando la información del envío ..."
This action will create shipping labels for all filtered shipments and mark them as shipped.,Esta acción creará etiquetas de envío para todos los envíos filtrados y los marcará como enviados.
This action will print packing slips for all filtered shipments and mark them as ready to ship.,Esta acción imprimirá los resbalones de embalaje para todos los envíos filtrados y los marcará como listos para su envío.
This action will print existing shipping labels for all filtered shipments.,Esta acción imprimirá las etiquetas de envío existentes para todos los envíos filtrados.
This action will update status for all filtered shipments.,Esta acción actualizará el estado de todos los envíos filtrados.
Left / Ship,Izquierda / Nave
Print label,Etiqueta de impresión
Delete tracking number and void/refund label if possible,Elimine el número de seguimiento y anule / etiqueta de reembolso si es posible
Partial Availability: ,Disponibilidad parcial: 
* Select action,Selecciona una acción
Inform retailer,Informar al minorista
Ship partial,Envío parcial
Order Items,Encargar artículos
Show/Hide Gift Message for the item above,Mostrar / Ocultar Mensaje de regalo para el tema anterior
From: %s,De:%s
To: %s,Términos y Condiciones
Order Gift Message:,Mensaje del regalo de la orden:
Show Extra Params,Mostrar parámetros adicionales
Add Comment<br/>(for retailer),Añadir comentario <br/> (para minorista)
Mark as Shipped,Marcar como enviado
Pkg#,'PKG'
Shipment Info/Pkg. Dimensions,Información del envío / Pkg. Dimensiones
Use Custom label weight/value,Usar peso / valor de la etiqueta personalizada
X,x
px.,(Px)
No files found,no se encontraron archivos
Collapse All,Ocultar todo
Expand All,Mostrar todo
Register Vendor Account,Registrar una cuenta de vendedor
Business Name,Razón Social
Phone Number,Número de teléfono
Quick Register,Registro Rápido
Setup Wizard,Setup Wizard
Dropship Vendor Registration,Registro de proveedores Dropship
Preferred Shipping Carrier,Portaaviones preferido
Please select...,Por favor seleccione
Preferred subdomain name,Nombre de subdominio preferido
URL Key,Clave de URL
Street Address Line 2,Dirección de calle Linea 2
Import Orders File,Archivo de órdenes de importación
Import Orders Content,Contenido de las órdenes de importación
Import,Importar
Field 1,magnetico
Select Field 1,- Seleccionar el campo -
Field 2,magnetico
Select Field 2,- Seleccionar el campo -
Field 3,magnetico
Select Field 3,- Seleccionar el campo -
Field 4,magnetico
Select Field 4,- Seleccionar el campo -
Field 5,magnetico
Select Field 5,- Seleccionar el campo -
Field Delimiter,Ca
Field Enclosure,Recinto de Campo
Import Stock File,Archivo de archivo de importación
Import Stock Content,Contenido de inventario de importación
From PO ID,Desde ID de pedido
To PO ID,Para ID de pedido
From PO Date,Desde la fecha del pedido
To PO Date,A la fecha de pedido
VIRTUAL PO,VIRTUAL PO
Create Shipments,Crear envíos
Create Shipments and Send Customer Notifications,Crear envíos y enviar notificaciones al cliente
"Please wait, loading purchase order information...","Espere, cargando la información de la orden de compra ..."
This action will create shipments and shipping labels for all filtered purchase orders and mark them as shipped.,Esta acción creará envíos y etiquetas de envío para todas las órdenes de compra filtradas y las marcará como enviadas.
This action will print packing slips for all filtered purchase orders and mark them as ready to ship.,Esta acción imprimirá las hojas de embalaje para todas las órdenes de compra filtradas y las marcará como listas para enviar.
This action will print existing shipping labels for all filtered purchase orders.,Esta acción imprimirá las etiquetas de envío existentes para todas las órdenes de compra filtradas.
This action will create shipments for all filtered purchase orders and send customer notification.,Esta acción creará envíos para todos los pedidos filtrados y enviará notificación al cliente.
This action will create shipments for all filtered purchase orders.,Esta acción creará envíos para todos los pedidos filtrados.
This action will update status for all filtered purchase orders.,Esta acción actualizará el estado de todas las órdenes de compra filtradas.
Shipment ID,Identificación del envío
Specify New Shipment Shipping Amount,Especifique un nuevo envío Cantidad de envío
Add PO Comment,Añadir comentario de PO
Page:,Página:
Previous Page,Página anterior
Next Page,Página siguiente
Previous,Anterior
Next,Siguiente
Orders,Pedidos
Import Tracking,Seguimiento de importación
Stock And Price,Stock Y Precio
Stock,Existencia
Product Manager,Gerente de Producto
Manual Labels,Etiquetas manuales
Promotions,promociones
Edit Offer,Editar oferta
Filter Orders,Pedidos de filtro
Apply Filter,Aplicar filtro
Perform on all retrieved records,Realizar en todos los registros recuperados
PO # ,Po ~ 
Shipment # ,embarque 
PO Gift Message:,Mensaje de obsequio:
Import File,Import file3
Import Content,Importar contenido
Export Purchase Orders,Pedidos de compra de exportación
Stock PO #,Stock PO #
Stock PO Items,Stock PO Artículos
Stock PO ID,ID de pedido de almacén
Stock PO Date,Fecha de inventario
PDF Stock POs,PDF Stock PO
"Please wait, loading stock PO information...","Por favor, espere, cargando información de pedido de stock ..."
This action will update status for all filtered stock POs.,Esta acción actualizará el estado de todas las OP de acciones filtradas.
Update Info,Actualizar información
"Please wait, updating shipment information...","Espere, actualizando la información del envío ..."
Registered Vendor,Proveedor registrado
"If you have an account, sign in with your email address.","Si tiene una cuenta, inicie sesión con su dirección de correo electrónico."
New Vendors,Nuevos vendedores
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchas ventajas: echa un vistazo más rápido, guarda más de una dirección, realiza un seguimiento de pedidos y más."
Dear,querido
Your e-mail,correo electrónico
must be confirmed before using it to log in to our store,Debe ser confirmado antes de usarlo para acceder a nuestra tienda
This link is valid only once,Este enlace solo es válido una vez
Best regards,Cordial saludo
Your application request was rejected,Se rechazó su solicitud de aplicación.
due to the following reason,Debido a la siguiente razón
Thank you for your application,Gracias por su solicitud
"Your request should be processed shortly, and you should receive a confirmation email.","Su solicitud debe ser procesada en breve, y usted debe recibir un correo electrónico de confirmación."
Congratulations, your application has been approved!,¡Felicidades, su solicitud ha sido aprobada!
Use the following values when prompted to log in,Tus datos de acceso:
The following products were approved by site administrator,Los siguientes productos fueron aprobados por el administrador del sitio
Thanks again for being a Partner Producer,Gracias de nuevo por ser un productor asociado
All the best,Siempre juntos.
The following products were marked by site administrator as requiring fix,Los siguientes productos fueron marcados por el administrador del sitio como que requieren corrección
The following products are pending and waiting for site administrator approve,Los siguientes productos están pendientes y esperando que el administrador del sitio apruebe
Question to ,Pregunta a 
regarding shipment,Respecto al envío
regarding product,Con respecto al producto
has been answered,Ha sido contestada
Please see details below,Por favor vea los detalles a continuación
Customer E-mail,Correo electrónico del cliente:
Vendor E-mail,E-mail del proveedor
You can view details in,Puede ver los detalles en
admin area,Área de administración
New Question for,Nueva Pregunta para
Product ,Producto  
have been asked,Se les ha pedido
Your question to,Su pregunta a
Their answer is,Su respuesta es
This email was sent to you because you have requested a password reset.,Este correo electrónico se te envió porque has solicitado un restablecimiento de contraseña.
"If you have not requested a password reset, you can ignore this email","Si no ha solicitado un restablecimiento de contraseña, puede ignorar este correo electrónico"
Go to this link to reset your password,Vaya a este enlace para restablecer su contraseña
Please find your statement for the previous period attached to this email,"Por favor, encuentre su estado de cuenta para el período anterior adjunto a este correo electrónico"
If you have any questions don't hesitate to reach out,"Si tiene alguna pregunta, no dude en ponerse en contacto con nosotros."
You can also,También puede:
log in,Entrar
to view specific information about individual orders,Para ver información específica sobre pedidos individuales
Please fulfill this new order,Por favor cumpla este nuevo pedido
For,Para
Please ship via,Envíenos por favor
"If that is not available, please notify us before shipping.","Si eso no está disponible, notifiqúenos por favor antes de enviar."
The following products reached low stock level,Los siguientes productos alcanzaron niveles bajos de existencias
Store administrator added comment for the order,Comentario del administrador de la tienda añadido para el pedido
Thank you for your partnership,Gracias por tu colaboración
You have been unsubscribed from the newsletter,Se ha cancelado la suscripción al boletín
Click here to logon to your shipping control panel,Haga clic aquí para iniciar sesión en el panel de control de envío
Please,Por favor
logon to your control panel,Iniciar sesión en el panel de control
and increase qtys if possible,Y aumentar qtys si es posible
You can,Puede
download packing slip PDF here,Descargar el boletín de empaque PDF aquí
Click here to logon to your shipping control panel,Haga clic aquí para iniciar sesión en el panel de control de envío
once you are ready to notify us of the shipment and input tracking numbers.,Una vez que esté listo para notificarnos del envío y los números de seguimiento de entrada.
To confirm the e-mail and instantly log in,Para confirmar el correo electrónico e iniciar sesión instantáneamente
 Please, Por favor
Use,Uso
this confirmation link,Este enlace de confirmación
This link is valid only once.,Este enlace es válido sólo una vez.
You can reply from the,Puede responder desde el
vendor portal,Portal de proveedores
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page: Email:","Para iniciar sesión en nuestro sitio, utilice estas credenciales durante la compra o en la página <a href=""%customer_url""> Mi cuenta </a>: Correo electrónico:"
Password:,Contraseña:
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","¿Olvidaste tu contraseña de cuenta? Haz clic <a href=""%reset_url""> aquí </a> para restablecerlo."
"When you sign in to your account, you will be able to:","Cuando inicie sesión en su cuenta, podrá:"
You must confirm your %customer_email email before you can sign in (link is only valid once):,Debe confirmar su correo electrónico% customer_email antes de iniciar sesión (el enlace sólo es válido una vez):
Thank you for confirming your %store_name account.,Gracias por confirmar su cuenta %store_name.
Proceed through checkout faster,Proceder a la comprobación más rápido
Check the status of orders,Comprobar el estado de las órdenes
View past orders,Ver pedidos pasados
Store alternative addresses (for shipping to multiple family members and friends),Almacene direcciones alternativas (para enviar a varios familiares y amigos)
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para iniciar sesión en nuestro sitio y establecer una contraseña, haga clic en el vínculo <a href=""%create_password_url""> </a>:"
Thank you for your order from %store_name.,Gracias por su pedido de %store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puede comprobar el estado de su pedido mediante <a href=""%account_url""> ingresando a su cuenta </a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si tiene alguna pregunta sobre su pedido, puede enviarnos un correo electrónico a <a href=""mailto:%store_email"">% store_email </a>."
Your Credit Memo #%creditmemo_id for Order #%order_id,Su nota de crédito #% creditmemo_id para Order #% order_id
Billing Info,Información De Facturación
Shipping Info,Info Envios
Payment Method,Forma de Pago
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Su pedido #% increment_id se ha actualizado con un estado de <strong>% order_status </ strong>.
About Us,Sobre nosotros
Customer Service,Servicio al cliente
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Horas de Operación: <br /> <span class = ""no-link"">% store_hours </ span>."
Your Invoice #%invoice_id for Order #%order_id,Su factura #% invoice_id para Order #% order_id
Once your package ships we will send you a tracking number.,Una vez que su paquete envíe le enviaremos un número de seguimiento.
"Your Order <span class=""no-link"">#%increment_id</span>","Su pedido <span class = ""no-link""> #% increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","Colocado en <span class = ""no-link"">% created_at </ span>"
There was recently a request to change the password for your account.,Ha habido recientemente una solicitud para cambiar la contraseña de su cuenta.
"If you requested this change, set a new password here:","Si ha solicitado este cambio, establezca una nueva contraseña aquí:"
Set a New Password,Establecer una contraseña nueva
"If you did not make this request, you can ignore this email and your password will remain the same.","Si no realizó esta solicitud, puede ignorar este correo electrónico y su contraseña permanecerá igual."
The password for your account has been successfully changed.,La contraseña de su cuenta se ha cambiado correctamente.
"If you did not request this change, please contact us.","Si no ha solicitado este cambio, póngase en contacto con nosotros."
"%name,","%nombre,"
%sender_name wants to share this product with you:,% Sender_name quiere compartir este producto contigo:
Message from %sender_name:,Mensaje de% sender_name:
%customer_name wants to share this Wish List from %store_name with you:,% Customer_name quiere compartir esta lista de deseos de %store_name contigo:
Message from %customer_name:,Mensaje de% customer_name:
Your shipping confirmation is below. Thank you again for your business.,La confirmación de su envío está continuación. Gracias de nuevo.
Your Shipment #%shipment_id for Order #%order_id,Su envío #% shipment_id para el pedido #% order_id
Thank you for subscribing to our newsletter.,Gracias por suscribirse a nuestro boletín.
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Para comenzar a recibir el boletín, primero debe confirmar su suscripción haciendo clic en el siguiente enlace:"
You have been successfully subscribed to our newsletter.,Se ha suscrito correctamente a nuestro boletín.
Welcome to,Bienvenido a 
Please confirm your,Por favor confirme su
account,cuenta
Credit memo for your,Nota de crédito para su
Update to your,Actualizar a su
credit memo,nota de crédito
Footer,Pie de página
Invoice for your,Factura para su
order,orden
Update to your,Actualizar a su
invoice,factura
Your,Su
order confirmation,confirmación de pedido
Update to your,Actualizar a su
order,orden
Reset your,Restablecer la
password,contraseña
password has been changed,ha cambiado la contraseña
Products price changed alert,Alerta de precios de productos modificados
order has shipped,orden ha enviado
Take a look at {{var customerName}}'s Wish List,Echa un vistazo a la lista de deseos de {{var customerName}}
Update to your,Actualizar a su
shipment,envío
Products back in stock alert,Productos volver en la alerta de stock
Newsletter subscription confirmation,Boletín de confirmación
Newsletter subscription success,La suscripción se ha completado con éxito
Newsletter unsubscription success,Éxito de la suscripción al boletín de noticias
New Vendor Product Approval Notification,Notificación de aprobación del nuevo proveedor
The following Product is Approve by site administrator,El siguiente producto es aprobado por el administrador del sitio
Identity Proof request from,Solicitud de prueba de identidad de
First Name,Nombre de pila
Last Name,Apellido
Application Confirmation from,Confirmación de la aplicación desde
Account confirmation for,Confirmación de cuenta para

Application Rejected at,Aplicación rechazada en
Your application request was rejected,Se rechazó su solicitud de aplicación.
due to the following reason,Debido a la siguiente razón
has invited you to Join Cibilia.com as Vendor,Le ha invitado a unirse a Cibilia.com como proveedor
Motivational Quote,Cita de motivación
Regards,Saludos
Verify Now,Verifica ahora
Verification Link,Link de verificacion
"To verify your information, click on the link below","Para verificar su información, haga clic en el enlace de abajo"
has invited you to Join Cibilia.com as Vendor. His Motivation Quote is as follows,Le ha invitado a unirse a Cibilia.com como Vendedor.Su cita de motivación es la siguiente
Vendor Type Selection Email  for,Selección de tipo de proveedor Correo electrónico para
to select  your vendor type,Para seleccionar el tipo de proveedor
Product Sku,SKU del Producto
Product Name,Nombre del producto
The following Cibilian Product is Approve by site administrator,El siguiente producto de Cibilian es aprobado por el administrador del sitio
Identity Proof Approval for,Aprobación de Prueba de Identidad para
Identity Proof request from,Solicitud de prueba de identidad de
Your Identity Proof has been approved,Su Prueba de Identidad ha sido aprobada
Product Approval Notification,Notificación de aprobación del producto
Cibilian Name,Cibilian Nombre
Cibilian Email,Correo electrónico de Cibilian
Withdrawl request from,Solicitud de retiro de
has submitted withdrawal request for amount,Ha presentado la solicitud de retiro de cantidad
Vendor Type Updated for,Tipo de proveedor Actualizado para
has updated their vendor type as,Ha actualizado su tipo de proveedor como
Payment Transaction Failed Reminder,Error en la transacción de pago
Contact Form,Formulario de contacto
Products price changed alert,Alerta de precios de productos modificados
Products back in stock alert,Productos volver en la alerta de stock
New Shipment Request for Order,Solicitud de pedido de nuevo envío
From,Desde
Update,Actualizar
Vendor password reset instructions from,Instrucciones de restablecimiento de contraseña del proveedor de
Statement for,Declaración para
Low stock products notification,Notificación de productos de stock bajo
Question replied by vendor,Pregunta contestada por el proveedor
New Question,nueva pregunta
for Shipment #,para enviar #
for Product,Para el producto
Question replied by vendor,Pregunta contestada por el proveedor
Approved products notification,Notificación de productos aprobados
Approved products notification for,Notificación de productos aprobados para
Fix products notification,Reparar la notificación de productos
Fix products notification for,Fijar notificación de productos para
Pending products notification,Notificación de productos pendientes
Pending products notification for,Notificación de productos pendientes para
Account confirmation for,Confirmación de cuenta para 
At,En
Application Rejected at,Aplicación rechazada en
