Download Labels,Etiketten herunterladen
Return Sent,Rückkehr gesendet
Return Sender,Rücksender
Return Receiver,Rücksendeempfänger
Return Tracking Info,Rückverfolgungsinfo
Return Items,Artikel zurücksenden
Return History,Rückkehr Geschichte
Track this Return,Verfolgen Sie diese Rückkehr
Print Labels,Etiketten drucken
Return Info,Rückgabe Information
Customer Notes,Kundennotizen
Allow resolution notes,Auflösungshinweise zulassen
Show Receiver To Customer,Empfänger zum Kunden anzeigen
There are no products matching the selection.,Es gibt keine Produkte die der Auswahl entsprechen.
%s %s from,%S%s aus
Add to Cart,in den Warenkorb legen
View Details,Details Anzeigen
Add to Wishlist,Zur Merkliste hinzufügen
Add to Compare,Hinzufügen zum vergleichen
Learn More,Weitere Informationen 
Select Vendor,Vendor auswählen
<strong>%s-%s</strong> of %s offers,<Strong>%s-%s </ strong> von%s bietet an
Sort By,Sortieren nach
Price + Shipping,Preis Versand
Seller,Verkäufer
Seller Rating,Verkäufer-Bewertung
Update Cart,Aktualisiere Deinen Warenkorb 
Click to zoom out,Zum Verkleinern klicken
Click to zoom in,Zum Vergrößern klicken
Ask A Question,Stelle eine Frage.
Shipment #%s for order #%s,Sendung #%s für Auftrag #%s
VENDOR,Anbieter
* Required Fields,Benötigte Felder
Submit,Senden
My Questions,Meine Fragen
Ask New Question,Fragen Sie neue Frage
Details,Einzelheiten 
ANSWER DATE,ANTWORT DATUM
You have no questions.,Sie haben keine Fragen.
Vendor Questions/Answers,Vendor Fragen / Antworten
<b>%s</b> asks vendor <b>%s</b>,<B>%s </ b> fragt den Verkäufer <b>%s </ b>
Answer,Antworten
Not Answered yet,Noch nicht beantwortet
No questions asked yet.,Noch keine Fragen.
Ask Vendor A Question,Frage Vendor A Frage
Your Name,Dein Name
Reply question #%s from %s,Antwort Frage #%s aus%s
* Indicated Required Fields,* Angegebene Pflichtfelder
"Please wait, submitting...","Bitte warten, abschicken ..."
Save,speichern
Save And Email,Speichern und per E-Mail senden:
Return to questions list,Rückkehr zur Fragenliste
From Order ID,Ab Bestell-Nr
To Order ID,Zur Bestell-ID
Question Visibility,Sichtbarkeit der Frage
Any,Irgendein
From Question Date,Vom fragendatum
To Question Date,Zum fragestatum
Question,Frage 
Is Replied,Ist geantwortet
Reset Filter,Filter zurücksetzen
Search,Suche
VISIBILITY,Sichtbarkeit
Estimate Shipping and Tax,Geschätzte Steuern und Versandgebühren
Enter your destination to get a shipping estimate.,"Geben Sie Ihr Ziel ein, um eine Schätzung zu erhalten."
State/Province,Kanton
"Please select region, state or province","Bitte wählen Sie Region, Bundesland oder Provinz"
Zip/Postal Code,Postleitzahl
Get a Quote,Angebot einholen
Update Total,Total aktualisieren
There are no vendors matching the selection.,"Es gibt keine Anbieter, die mit der Auswahl übereinstimmen."
Items %s to %s of %s total,Items%s bis%s von%s insgesamt
%s Item(s),%s Elemente
Show,Zeigen
per page,pro Seite
View as,Anzeigen als:
Set Ascending Direction,In aufsteigender Richtung einstellen
Set Descending Direction,In absteigender Reihenfolge
Gift Message,Geschenknachricht
Item,Posten
Gift Message for this Order,Geschenkmitteilung für diesen Auftrag
System Sku,System Sku
Select Shipping:,Wählen Sie Versand:
Unknown vendor,Unbekannter Anbieter
No Pending Reviews,Keine ausstehenden Bewertungen
No Reviews,Keine Bewertungen
Review by <span>%s</span>,Überprüfung durch <span>%s </ span>
(Posted on %s),(Veröffentlicht am%s)
Summary of Your Review,Zusammenfassung Ihrer Rezension
Submit Review,Bewertung senden
Please select one of each of the ratings above,Bitte wählen Sie eine der obigen Bewertungen aus
%d Review(s),%D Bewertung (en)
Select Delivery Type to edit Rates,"Wählen Sie Lieferart, um Preise zu bearbeiten"
"Please wait, loading...",WARTEN SIE MAL! LADEN...
Your application has been received.,Ihre Bewerbung wurde eingegangen.
Thank you for the registeration!,Vielen Dank für die Anmeldung!
Your recurring payment profiles:,Ihre wiederkehrenden Zahlsprofile:
"Payment profile # %s: ""%s"".","Zahlungsprofil #%s: ""%s""."
Go To Vendor Portal,Gehen Sie zu Vendor Portal
No Membership,Keine Mitgliedschaft
Shop description must be between %s char and %s char,Die Ladenbeschreibung muss zwischen%s char und%s char liegen
Become a Vendor,Werde ein Verkäufer
Register,Neu registrieren
Return to log in,Rückkehr zur Anmeldung
Required Fixes,Erforderliche Fixes
Data Changed,Daten geändert
NEW PRODUCT,Neues Produkt
Attributes Changes,Attribute Änderungen
Added configurable simple products,Zusätzliche konfigurierbare einfache Produkte hinzugefügt
Removed configurable simple products,Entfernt konfigurierbare einfache Produkte
Please upload images,Bitte laden Sie Bilder hoch
Add/Edit Images,Bilder hinzufügen / bearbeiten
Upload Pictures,Bilder hochladen
Main Image,Hauptbild
(Type of product: %s),(Art des Erzeugnisses:%s)
Save And Continue Edit,Speichern und weiterbearbeiten
Return to product list,Zurück zur Produktliste
Price Value,Preiswert
Percent,Prozent
Add Option Price,Hinzufügen Option Preis
Add Another %s,Füge weitere%s hinzu
Add Other Options,Weitere Optionen hinzufügen
At least one option should be added,Mindestens eine Option sollte hinzugefügt werden
Autogenerate Vendor Sku,Autogenerate Vendor Sku
Add Configuration,Konfiguration hinzufügen
Links can be purchased separately,Links können separat erworben werden
Max. Downloads,Max. Downloads
Shareable,Gemeinsam nutzbar
Sample,Beispiel
File,Datei 
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerische, Strich- und Unterstrichzeichen werden für Dateinamen empfohlen. Falsche Zeichen werden durch \ '_ \' ersetzt."
There are files that were selected but not uploaded yet. Please upload or remove them first,"Es gibt Dateien, die ausgewählt wurden, aber noch nicht hochgeladen wurden. Bitte zuerst hochladen oder entfernen"
Delete Group Price,Gruppenpreis löschen
"At least one ""%s"" should be added","Mindestens ein ""%s"" sollte hinzugefügt werden"
Add Another ,Weitere hinzufügen 
Delete Tier,Tier löschen
Use Config Settings,Verwenden Sie die Config-Einstellungen
System SKU,System SKU
System Status,Systemstatus
From Price,Ab Preis
To Price,Zum Preis
From Stock Qty,Ab Lager Menge
To Stock Qty,Auf Lager Menge
Type of product: ,Produkttyp: 
Add Virtual Product,Füge virtuelles Produkt hinzu
Add Dowloadable Product,Dowloadable Produkt hinzufügen
Add Grouped Product,Fügen Sie gruppiertes Produkt hinzu
Add New Product (with options),Neues Produkt hinzufügen (mit Optionen)
Add New Product,Neues Produkt hinzufügen
System ID,System-ID
"This action will delete product ""%s"".","Diese Aktion löscht das Produkt ""%s""."
My Products,Meine Produkte
"Promotion #%s ""%s","Promotion #%s ""%s"
Return to rules list,Zurück zur Regelnliste
Date Start,Datum Anfang
From Date Start,Ab Datum Start
To Date Start,Bis Datum Start
Date Expire,Datum ablaufen
From Date Expire,Von Datum ablaufen
To Date Expire,Bis Datum ablaufen
Add New Promotion,Neue Promotion hinzufügen
My Promotions,Meine Promotionen
Create an Account,Konto erstellen
Personal Information,Persönliche Daten
Email Address,E-Mail-Addresse
Sign Up for Newsletter,Anmeldung für Newsletter
Address Information,Adresse
Company,Unternehmen
Street Address,Adresse
Street Address %s,Straße Adresse%s
Login Information,Login-Daten
Confirm Password,Passwort bestätigen 
Back,Zurück
Options,Optionen
#NAME?,#NAME?
- Select Option -,Wählen Sie die Optionen
Additional details about Condition,Weitere Details über Zustand
Your Price,Dein Preis
#NAME?,#NAME?
Allow free shipping for this product,Erlauben Sie kostenloses Verschiffen für dieses Produkt
State Description,Zustandsbeschreibung
My SKU,Meine SKU
My Title,Mein Titel
Browse All Products,Alle Produkte durchsuchen
Sell with Us,Bei uns verkaufen
Help,Hilfe 
RSS,RSS
Monster Market,Monstermarkt
All rights reserved.,Alle Rechte vorbehalten.
Privacy Policy,Datenschutz-Richtlinien
Terms of Use,Nutzungsbedingungen
Sell Your Product,Verkaufen Sie Ihr Produkt
Logged in as %s,Eingetragen als%s
Log out,Abmelden
Welcome!,Herzlich Willkommen!
Switch To Sell Yours,Wechseln Sie zu verkaufen
Switch To My Sell List,Wechseln Sie zu meiner Verkaufsliste
Find,Finden
Go,Gehen 
Didn't find what you're looking for? <span>Create your product</span>,"Sie haben nicht gefunden, was Sie suchen? <Span> Erstellen Sie Ihr Produkt </ span>"
"Search Results for ""%s"" in category ""%s","Suchergebnisse für ""%s"" in der Kategorie ""%s"
"Browsing category ""%s","Durchsuchen Kategorie ""%s"
"Search Results for ""%s",Suchergebnisse für%s
Edit My Offer,Mein Angebot bearbeiten
"<span>Or,</span> Browse by Category",<Span> Oder </ span> Durchsuchen nach Kategorie
Didn't find what you're looking for?,"Sie haben nicht gefunden, was Sie suchen?"
Create your product,Erstellen Sie Ihr Produkt
Tracking Information,Tracking-Informationen
Close Window,Fenster schließen
RMA #,RMA #
Tracking Number:,Trackingnummer:
Carrier:,Transportdienstleister
Error:,Fehler:
Tracking information is currently not available. Please ,Tracking-Informationen sind derzeit nicht verfügbar. Bitte 
contact us,kontaktieren Sie uns
 for more information or ,Für weitere Informationen oder 
email us at ,Mailen Sie uns an 
Info:,Informationen:
Track:,Track:
Delivered on:,Geliefert an:
Signed by:,Unterzeichnet von:
Delivered to:,Geliefert an:
Shipped or billed on:,Versand oder Abrechnung:
Service Type:,Art des Service:
Local Time,Ortszeit
There is no tracking available for this shipment.,Für diese Sendung steht kein Tracking zur Verfügung.
There is no tracking available.,Es gibt kein Tracking.
From Order Date,Ab Auftragsdatum
To Order Date,Zum Bestelldatum
From RMA ID,Von RMA ID
To RMA ID,Zur RMA ID
From RMA Date,Aus RMA Datum
To RMA Date,Zu RMA Datum
Direction,Richtung
Reason,Grund 
Perform on all retrieved records:,Führen Sie alle abgerufenen Datensätze aus:
* No action,Keine Aktion gewählt
Collapse all rows,Alle Zeilen reduzieren
Expand all rows,Erweitern Sie alle Zeilen
"Please wait, loading RMA information...","Bitte warten, laden RMA Informationen ..."
This action will print PDF for all filtered purchase orders.,Diese Aktion druckt PDF für alle gefilterten Bestellungen aus.
Please select a status.,Bitte wählen Sie einen Status aus.
This action will update status for all filtered RMAs.,Diese Aktion aktualisiert den Status für alle gefilterten RMAs.
Qty Available,Menge verfügbar
Proceed with tracking ID deletion?,Mit dem Tracking-ID-Löschen fortfahren?
Tracking IDs,Tracking IDs
Delete tracking number,Spurennummer löschen
RMA Items,RMA Artikel
Carrier Title,Träger Titel
Add Tracking ID,Tracking-ID hinzufügen
Add Comment,Füge Kommentar hinzu
Visible to Customer,Sichtbar für den Kunden
Change Status,Status ändern
Resolution Notes,Auflösung Anmerkungen
Add RMA Comment,RMA Kommentar hinzufügen
Comments history,Kommentare Geschichte
My Orders,Meine Bestellungen
Ship To,Liefern nach
View Order,Bestellen
Track Order,Bestellung verfolgen
Reorder,erneut bestellen
View RMA,Ansicht RMA
Request RMA,RMA anfordern
You have placed no orders.,Du hast keine Bestellungen hinterlegt.
Order #%s - %s,Auftrag #%s -%s
Subscribe to Order Status,Bestellstatus abonnieren
Print Order,Bestellung drucken
About This Order:,Über diesen Auftrag:
Order Date: %s,Bestelldatum:%s
No shipping information available,Keine Versandinformationen verfügbar
Instructions,Anleitung
Order #%s,Bestellungen
Shipment #%s,Sendung #%s
Recent Orders,LETZTE BESTELLUNGEN 
View All,Alle anzeigen
General Notes,Allgemeine Hinweise
RMA Sender,RMA Absender
RMA Receiver,RMA Empfänger
Track this RMA,Verfolgen Sie diese RMA
Print Label,Drucken Etikett
Tracking Number(s):,Verfolgungsnummer):
of %s,Von%s
Create New RMA,Neues RMA erstellen
Create RMA,RMA erstellen
Back to My Orders,Zurück zu meinen Orden
From Vendor Price,Ab Vendor Preis
To Vendor Price,Zu Vendor Preis
Update Information On This Page,Aktualisiere Informationen auf dieser Seite
About the calendar,Über den Kalender
DHTML Date/Time Selector,DHTML Datum / Uhrzeit
For latest version visit: %s,Für die neueste Version besuchen Sie:%s
Distributed under GNU LGPL. See %s for details.,Verteilt unter GNU LGPL. Siehe%s für Details.
Date selection:,Datumsauswahl:
"- Use the %s, %s buttons to select year","- Verwenden Sie die Schaltflächen%s,%s, um das Jahr auszuwählen"
- Use the %s buttons to select month,"- Verwenden Sie die%s-Tasten, um den Monat auszuwählen"
#NAME?,#NAME?
Time selection:,Zeitauswahl:
#NAME?,#NAME?
#NAME?,#NAME?
#NAME?,#NAME?
Prev. year (hold for menu),Vorherige Jahr (Halten für Menü)
Prev. month (hold for menu),Vorherige Monat (für Menü halten)
Go Today,Geh heute
Next month (hold for menu),Nächster Monat (Halten für Menü)
Next year (hold for menu),Nächstes Jahr (für Menü halten)
Select date,Datum auswählen
Drag to move,Ziehen zum bewegen
Display %s first,Anzeige%s zuerst
Close,Schließe
(Shift-)Click or drag to change value,"(Umschalt-) Klicken oder ziehen, um den Wert zu ändern"
Time:,Zeit:
Skip to Main Content,Direkt zum Inhalt
Dashboard,Übersichtsseite
Stock POs,Lagerbestände
Pending Stock PO,Ausstehender Lagerbestand
Commission Percents,Kommission Prozente
Settings,Einstellungen
Import Stock,Bestand importieren
Manage Stock And Price,Verwalten von Lager und Preis
Products Edit,Produkte bearbeiten
Select &amp; Sell,Auswählen & amp; Verkaufen
Shipments Report,Sendungen Bericht
Advanced PO Report,Fortgeschrittener Bericht
System View,Systemansicht
Welcome to Dropship Vendor Interface,Willkommen bei Dropship Vendor Interface
Vendor Log in,Vendor Einloggen
Username / Email Address,Benutzername (E-Mail Addresse
Login,Anmelden
Vendor Password Reset,Vendor Password Reset
Email Address/User name,E-Mail-Adresse / Benutzername
Reset Password,Kennwort zurücksetzen
Save All Settings,Alle Einstellungen speichern
Not Applicable,Nicht zutreffend
Available for Shipping From Date,Verfügbar für Versand ab Datum
Available for Shipping To Date,Verfügbar für Versand bis Datum
Download Existing Labels Batch,Herunterladen Existing Labels Batch
Update Shipments Status,Update Shipments Status
Available On,Verfügbar auf
Download,Herunterladen
Packing Slip,{0}?{/0} {1}        {/1} {2}Lieferschein{/2}
"Please wait, loading shipment information...","Bitte warten, laden Versandinformationen ..."
This action will create shipping labels for all filtered shipments and mark them as shipped.,Diese Aktion erstellt Versandetiketten für alle gefilterten Sendungen und markiert sie als versandt.
This action will print packing slips for all filtered shipments and mark them as ready to ship.,Diese Aktion druckt Packzettel für alle gefilterten Sendungen und markiert sie als fertig zum Versand.
This action will print existing shipping labels for all filtered shipments.,Diese Aktion druckt vorhandene Versandetiketten für alle gefilterten Sendungen.
This action will update status for all filtered shipments.,Diese Aktion aktualisiert den Status für alle gefilterten Sendungen.
Left / Ship,Links / Schiff
Print label,Etikett drucken
Delete tracking number and void/refund label if possible,"Löschen Sie die Spurhaltungsnummer und löschen Sie das Kennzeichen, wenn möglich"
Partial Availability: ,Teilweise Verfügbarkeit: 
* Select action,Auswählen aktion
Inform retailer,Informieren Sie den Händler
Ship partial,Schiff teilweise
Order Items,Bestellpositionen
Show/Hide Gift Message for the item above,Show / Hide Geschenk Nachricht für den obigen Artikel
From: %s,Von: {0}%s{/0}
To: %s,An: {0}%s{/0}
Order Gift Message:,Geschenkgutschein bestellen:
Show Extra Params,Extra-Params anzeigen
Add Comment<br/>(for retailer),Kommentar hinzufügen <br/> (für den Einzelhändler)
Mark as Shipped,Als geliefert markiert
Pkg#,Pkg/10
Shipment Info/Pkg. Dimensions,Versand Info / Pkg. Größe
Use Custom label weight/value,Verwenden Sie benutzerdefiniertes Etikettengewicht / Wert
X,X??(ist 1)
px.,... S. x
No files found,Keine Dateien gefunden
Collapse All,Schließe alles
Expand All,Alles erweitern
Register Vendor Account,Kreditorenkonto registrieren
Business Name,Firmenname
Phone Number,Telefonnummer
Quick Register,Schnelle Anmeldung
Setup Wizard,Setup-Assistent
Dropship Vendor Registration,Dropship Vendor Registrierung
Preferred Shipping Carrier,Bevorzugter Versandträger
Please select...,--Bitte auswählen--
Preferred subdomain name,Bevorzugter Subdomainname
URL Key,URL-Schlüssel
Street Address Line 2,Straße Adresszeile 2
Import Orders File,Importieren von Auftragsdateien
Import Orders Content,Inhalt importieren
Import,Einführen
Field 1,Feld 
Select Field 1,Wählen Sie ein Feld:
Field 2,Feld 
Select Field 2,Wählen Sie ein Feld:
Field 3,Feld 
Select Field 3,Wählen Sie ein Feld:
Field 4,Feld 
Select Field 4,Wählen Sie ein Feld:
Field 5,Feld 
Select Field 5,Wählen Sie ein Feld:
Field Delimiter,Feldbegrenzer
Field Enclosure,Feldgehäuse
Import Stock File,Importieren von Bestandsdatei
Import Stock Content,Importieren Sie den Inhalt
From PO ID,Von der PO ID
To PO ID,Zur Bestell-ID
From PO Date,Von Post Datum
To PO Date,Zum Bestelldatum
VIRTUAL PO,VIRTUELLE PO
Create Shipments,Erstellen Sie Sendungen
Create Shipments and Send Customer Notifications,Erstellen von Sendungen und Senden von Kundenbenachrichtigungen
"Please wait, loading purchase order information...","Bitte warten Sie, laden Sie die Bestellinformationen ..."
This action will create shipments and shipping labels for all filtered purchase orders and mark them as shipped.,Diese Aktion erstellt Sendungen und Versandetiketten für alle gefilterten Bestellungen und markiert sie als versandt.
This action will print packing slips for all filtered purchase orders and mark them as ready to ship.,Diese Aktion druckt Packzettel für alle gefilterten Bestellungen und markiert sie als fertig zum Versand.
This action will print existing shipping labels for all filtered purchase orders.,Diese Aktion druckt vorhandene Versandetiketten für alle gefilterten Bestellungen.
This action will create shipments for all filtered purchase orders and send customer notification.,Diese Aktion wird Sendungen für alle gefilterten Bestellungen erstellen und die Kundenmitteilung senden.
This action will create shipments for all filtered purchase orders.,Diese Aktion erstellt Sendungen für alle gefilterten Bestellungen.
This action will update status for all filtered purchase orders.,Diese Aktion aktualisiert den Status für alle gefilterten Bestellungen.
Shipment ID,Sendungsnummer
Specify New Shipment Shipping Amount,Geben Sie einen neuen Versand Versandbetrag an
Add PO Comment,Kommentar hinzufügen
Page:,Seite:
Previous Page,Vorherige Seite
Next Page,Nächste Seite
Previous,Bisherige 
Next,Nächster
Orders,Bestellungen
Import Tracking,Importverfolgung
Stock And Price,Lager und Preis
Stock,Lagerbestand
Product Manager,Produktmanager
Manual Labels,Manuelle Etiketten
Promotions,Promotionen
Edit Offer,Angebot bearbeiten
Filter Orders,Filteraufträge
Apply Filter,Filter anwenden
Perform on all retrieved records,Führen Sie alle abgerufenen Datensätze aus
PO # ,Pocitelj in der Nähe von Capljina 
Shipment # ,Sendung # 
PO Gift Message:,PO Geschenk Nachricht:
Import File,Datei importieren
Import Content,Inhalt importieren
Export Purchase Orders,Exportieren von Bestellungen
Stock PO #,Lager PO #
Stock PO Items,Aktienposten
Stock PO ID,Aktienpost-ID
Stock PO Date,Lager PO Datum
PDF Stock POs,PDF Lagerbestände
"Please wait, loading stock PO information...","Bitte warten, Ladevorrat PO Informationen ..."
This action will update status for all filtered stock POs.,Diese Aktion aktualisiert den Status für alle gefilterten Lagerbestände.
Update Info,Updateinformation
"Please wait, updating shipment information...","Bitte warten, aktualisieren Versandinformationen ..."
Registered Vendor,Eingetragener Verkäufer
"If you have an account, sign in with your email address.","Wenn Sie ein Konto haben, melden Sie sich mit Ihrer E-Mail-Adresse an."
New Vendors,Neue Anbieter
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Erstellen eines Kontos hat viele Vorteile: Check out schneller, halten mehr als eine Adresse, verfolgen Bestellungen und mehr."
Dear,sehr geehrter
Your e-mail,Ihre E-Mail
must be confirmed before using it to log in to our store,"Muss bestätigt werden, bevor Sie es benutzen, um sich in unserem Shop anzumelden"
This link is valid only once,Dieser Link ist nur einmal gültig
Best regards,Mit freundliche Grüße
Your application request was rejected,Ihre Bewerbungsanträge wurden abgelehnt
due to the following reason,Aus folgendem Grund
Thank you for your application,Vielen Dank für Ihre Bewerbung
"Your request should be processed shortly, and you should receive a confirmation email.","Ihre Anfrage sollte in Kürze bearbeitet werden, und Sie erhalten eine Bestätigungs-E-Mail."
Congratulations, your application has been approved!,Herzlichen Glückwunsch, Ihre Bewerbung wurde genehmigt!
Use the following values when prompted to log in,"Verwenden Sie die folgenden Werte, wenn Sie aufgefordert werden, sich einzuloggen"
The following products were approved by site administrator,Die folgenden Produkte wurden vom Seitenverwalter genehmigt
Thanks again for being a Partner Producer,Nochmals vielen Dank als Partner-Produzent
All the best,Alles Gute
The following products were marked by site administrator as requiring fix,Die folgenden Produkte wurden von der Website-Administrator als erforderlich fixiert
The following products are pending and waiting for site administrator approve,Die folgenden Produkte stehen noch aus und warten auf den Administrator der Website
Question to ,Frage an 
regarding shipment,Über den Versand
regarding product,In Bezug auf Produkt
has been answered,Wurde beantwortet
Please see details below,Bitte siehe Details unten
Customer E-mail,Kunden-eMail
Vendor E-mail,Vendor E-Mail
You can view details in,Sie können Details in anzeigen
admin area,Admin bereich
New Question for,Neue Frage für
Product ,Artikel 
have been asked,Wurden gefragt
Your question to,Ihre Frage an
Their answer is,Ihre Antwort ist
This email was sent to you because you have requested a password reset.,"Diese E-Mail wurde an Sie geschickt, weil Sie ein Passwort zurückgesetzt haben."
"If you have not requested a password reset, you can ignore this email","Wenn Sie kein Passwort zurückgesetzt haben, können Sie diese E-Mail ignorieren"
Go to this link to reset your password,"Gehen Sie zu diesem Link, um Ihr Passwort zurückzusetzen"
Please find your statement for the previous period attached to this email,"Bitte finden Sie Ihre Aussage für die vorherige Periode, die dieser E-Mail beigefügt ist"
If you have any questions don't hesitate to reach out,"Wenn Sie irgendwelche Fragen haben, zögern Sie nicht zu erreichen"
You can also,Weitere Möglichkeiten
log in,"einloggen,"
to view specific information about individual orders,Um spezifische Informationen über einzelne Aufträge anzuzeigen
Please fulfill this new order,Bitte erfülle diese neue Bestellung
For,Auf
Please ship via,Bitte versenden Sie über
"If that is not available, please notify us before shipping.","Wenn das nicht vorhanden ist, informieren Sie uns bitte, bevor wir versenden."
The following products reached low stock level,Die folgenden Produkte erreichten einen niedrigen Lagerbestand
Store administrator added comment for the order,Store Administrator hinzugefügt Kommentar für die Bestellung
Thank you for your partnership,Vielen Dank für Ihre Partnerschaft
You have been unsubscribed from the newsletter,Sie sind vom Newsletter abgemeldet
Click here to logon to your shipping control panel,"Klicken Sie hier, um sich bei Ihrem Versandkontrollfeld anzumelden"
Please,Bitte
logon to your control panel,Anmeldung an deinem Bedienfeld
and increase qtys if possible,Und ggf. qtys erhöhen
You can,Sie können
download packing slip PDF here,Download Packungsbeleg PDF hier
Click here to logon to your shipping control panel,"Klicken Sie hier, um sich bei Ihrem Versandkontrollfeld anzumelden"
once you are ready to notify us of the shipment and input tracking numbers.,"Sobald Sie bereit sind, uns über die Sendung und die Input-Tracking-Nummern zu informieren."
To confirm the e-mail and instantly log in,Um die E-Mail zu bestätigen und sich sofort einzuloggen
Please,Bitte
Use,Benutzen
this confirmation link,Dieser Bestätigungslink
This link is valid only once.,Dieser Link ist nur einmal gültig.
You can reply from the,Du kannst von der
vendor portal,Anbieterportal
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page: Email:","Um sich auf unserer Website anzumelden, benutze diese Anmeldeinformationen während der Kasse oder auf der <a href=""%customer_url""> Mein Konto </a> Seite: Email:"
Password:,Passwort:
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Passwort vergessen? Klicken Sie auf <a href=""%reset_url""> hier </a>, um es zurückzusetzen."
"When you sign in to your account, you will be able to:","Wenn du dich bei deinem Konto anmeldest, kannst du:"
You must confirm your %customer_email email before you can sign in (link is only valid once):,"Sie müssen Ihre% customer_email E-Mail bestätigen, bevor Sie sich anmelden können (Link ist nur einmal gültig):"
Thank you for confirming your %store_name account.,Vielen Dank für die Bestätigung Ihrer %store_name Konto.
Proceed through checkout faster,Fahren Sie schneller durch die Kasse
Check the status of orders,Überprüfen Sie den Status der Aufträge
View past orders,Vergangene Aufträge ansehen
Store alternative addresses (for shipping to multiple family members and friends),Speichern Sie alternative Adressen (für den Versand an mehrere Familienmitglieder und Freunde)
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Um sich bei uns zu registrieren und ein Passwort zu setzen, klicke auf den <a href=""%create_password_url""> Link </a>:"
Thank you for your order from %store_name.,Vielen Dank für Ihre Bestellung von %store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Sie können den Status Ihrer Bestellung durch <a href=""%account_url""> in Ihrem Konto anmelden </a> überprüfen."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Wenn Sie Fragen zu Ihrer Bestellung haben, können Sie uns unter <a href=""mailto:%store_email"">% store_email </a> mailen."
Your Credit Memo #%creditmemo_id for Order #%order_id,Ihre Gutschrift #% creditmemo_id für Auftrag #% order_id
Billing Info,Rechnungsinfo
Shipping Info,Versandinformation
Payment Method,Zahlungsart
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Ihre Bestellung #% increment_id wurde mit einem Status von <strong>% order_status </ strong> aktualisiert.
About Us,Über uns
Customer Service,Kundenservic
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Betriebsstunden: <br /> <span class = ""no-link"">% store_hours </ span>."
Your Invoice #%invoice_id for Order #%order_id,Ihre Rechnung #% invoice_id für Auftrag #% order_id
Once your package ships we will send you a tracking number.,"Sobald Ihr Paket versendet, schicken wir Ihnen eine Spurhaltungszahl."
"Your Order <span class=""no-link"">#%increment_id</span>","Ihre Bestellung <span class = ""no-link""> #% increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","Platziert auf <span class = ""no-link"">% created_at </ span>"
There was recently a request to change the password for your account.,"Es gab vor kurzem eine Anforderung, das Passwort für Ihr Konto zu ändern."
"If you requested this change, set a new password here:","Wenn Sie diese Änderung angefordert haben, setzen Sie hier ein neues Passwort:"
Set a New Password,Setzen Sie ein neues Passwort
"If you did not make this request, you can ignore this email and your password will remain the same.","Wenn Sie diese Anforderung nicht gemacht haben, können Sie diese E-Mail ignorieren und Ihr Passwort bleibt gleich."
The password for your account has been successfully changed.,Das Passwort für Ihr Konto wurde erfolgreich geändert.
"If you did not request this change, please contact us.","Wenn Sie diese Änderung nicht beantragt haben, kontaktieren Sie uns bitte."
"%name,",Name DE
%sender_name wants to share this product with you:,% Sender_name möchte dieses Produkt mit Ihnen teilen:
Message from %sender_name:,Nachricht von% sender_name:
%customer_name wants to share this Wish List from %store_name with you:,% Customer_name möchte diese Wunschliste von %store_name mit Ihnen teilen:
Message from %customer_name:,Nachricht von% customer_name:
Your shipping confirmation is below. Thank you again for your business.,Ihre Versandbestätigung unter. Nochmals vielen Dank für Ihr Geschäft.
Your Shipment #%shipment_id for Order #%order_id,Ihre Sendung #% shipment_id für Auftrag #% order_id
Thank you for subscribing to our newsletter.,"Danke, dass Sie unseren Newsletter abonniert haben."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Um den Newsletter zu erhalten, müssen Sie zuerst Ihr Abonnement bestätigen, indem Sie auf den folgenden Link klicken:"
You have been successfully subscribed to our newsletter.,Sie haben unseren Newsletter erfolgreich abonniert.
Welcome to,Willkommen bei
Please confirm your,Bitte bestätigen Sie Ihr
account,Konto
Credit memo for your,Gutschrift für Ihre
Update to your,Aktualisieren Sie auf Ihre
credit memo,Gutschrift
Footer,Fußzeile
Invoice for your,Rechnung für Ihre
order,Bestellung
Update to your,Aktualisieren Sie auf Ihre
invoice,Rechnung
Your,Ihre
order confirmation,Bestellbestätigung
Update to your,Aktualisieren Sie auf Ihre
order,bestellung
Reset your,Setzen Sie Ihr
password,Passwort
password has been changed,Passwort wurde geändert
Products price changed alert,Produkte Preis geändert Warnung
order has shipped,Bestellung wurde versandt
Take a look at {{var customerName}}'s Wish List,Werfen Sie einen Blick auf {{var customerName}} 's Wish List
Update to your,Aktualisieren Sie auf Ihre
shipment,Sendung
Products back in stock alert,Produkte wieder auf Lager Alert
Newsletter subscription confirmation,Newsletter-Abo-Bestätigung
Newsletter subscription success,Newsletter-Abo-Erfolg
