Download Labels,Scarica Etichette
Carrier:,Vettore
Error:,Errore:
Tracking information is currently not available. Please ,Informazioni di rilevamento non è attualmente disponibile. Si prega di 
contact us,CONTATTACI
 for more information or ,per ulteriori informazioni o 
email us at ,e-mail all'indirizzo 
Info:,Informazioni
Track:,Traccia
Delivered on:,Consegnato su:
Signed by:,Firmato da:
Delivered to:,Spedito a:
Shipped or billed on:,Spedito o fatturati on:
Service Type:,Tipo di servizio:
Local Time,Ora Locale
There is no tracking available for this shipment.,Non v'è alcun inseguimento disponibile per questa spedizione.
There is no tracking available.,Non v'è alcun inseguimento disponibile.
From Order Date,Dalla data dell'ordine
To Order Date,To Order Data
From RMA ID,Da RMA ID
To RMA ID,Per RMA ID
From RMA Date,Da RMA Data
To RMA Date,Per RMA Data
Direction,Direzione
Reason,Ragionare
Perform on all retrieved records:,Eseguire su tutti i record recuperati:
* No action,No action
Collapse all rows,Chiudi tutte le righe
Expand all rows,Expand tutte le righe
"Please wait, loading RMA information...","Attendere, caricamento RMA ..."
This action will print PDF for all filtered purchase orders.,Questa azione di stampare in PDF per tutti gli ordini di acquisto filtrati.
Please select a status.,Si prega di selezionare uno stato.
This action will update status for all filtered RMAs.,Questa azione consente di aggiornare lo stato per tutti i RMA filtrati.
Qty Available,Quantità Disponibile
Proceed with tracking ID deletion?,Procedere con il monitoraggio ID eliminazione?
Tracking IDs,monitoraggio ID
Delete tracking number,Elimina numero di tracking
RMA Items,Articoli RMA
Carrier Title,Carrier Titolo
Add Tracking ID,Aggiungere monitoraggio ID
Add Comment,Aggiungi un commento
Visible to Customer,Visibile al Cliente
Change Status,Cambiare stato
Resolution Notes,risoluzione Note
Add RMA Comment,Aggiungere RMA commento
Comments history,storia Commenti
My Orders,I miei ordini
Ship To,Spedire a
View Order,vedi-ordine
Track Order,Ordine dei brani
Reorder,Riordina
View RMA,vista RMA
Request RMA,richiesta RMA
You have placed no orders.,Hai messo ordini.
Order #%s - %s,Ordine #%s -%s
Subscribe to Order Status,Abbona ordine di Stato
Print Order,Ordine di stampa
About This Order:,A proposito di questo ordine:
Order Date: %s,Data Ordine: %s
No shipping information available,Nessuna informazione di spedizione disponibili
Instructions,Istruzioni
Order #%s,Ordine: %s
Shipment #%s,Spedizioni
Recent Orders,Ordini recenti
View All,Guarda tutto
General Notes,Note generali
RMA Sender,RMA mittente
RMA Receiver,Ricevitore RMA
Track this RMA,Sottoscrivi questa RMA
Print Label,Stampa etichetta
Tracking Number(s):,Numero di inseguimento (s):
of %s,di%s
Create New RMA,Crea nuovo RMA
Create RMA,creare RMA
Back to My Orders,Torna a miei ordini
From Vendor Price,Da Venditore Prezzo
To Vendor Price,Prezzo a fornitore
Update Information On This Page,Aggiornare le informazioni su questa pagina
About the calendar,Riguardo al calendario
DHTML Date/Time Selector,DHTML Data / Ora Selettore
For latest version visit: %s,Per la versione ultima visita:%s
Distributed under GNU LGPL. See %s for details.,Distribuito sotto licenza GNU LGPL. Vedere%s per i dettagli.
Date selection:,selezione Data:
"- Use the %s, %s buttons to select year","- Utilizzare il%s,%s pulsanti per selezionare l'anno"
- Use the %s buttons to select month,- Utilizzare i pulsanti%s per selezionare il mese
#NAME?,Nome
Time selection:,Seleziona l'orario
#NAME?,Nome
#NAME?,Nome
#NAME?,Nome
Prev. year (hold for menu),Prev. anno (tenere premuto per menu)
Prev. month (hold for menu),Prev. mese (tenere premuto per menu)
Go Today,Go Oggi
Next month (hold for menu),Il prossimo mese (tenere premuto per menu)
Next year (hold for menu),L'anno prossimo (tenere premuto per menu)
Select date,Seleziona data
Drag to move,Trascina per spostare
Display %s first,Display%s prima
Close,Chiudi
(Shift-)Click or drag to change value,(Shift) Fare clic o trascinare per modificare il valore
Time:,Ora:
Skip to Main Content,Vai al contenuto principale
Dashboard,scrivania
Stock POs,della OP
Pending Stock PO,In attesa della PO
Commission Percents,percentuali Commissione
Settings,Impostazioni
Import Stock,Importazione della
Manage Stock And Price,Gestire il magazzino e prezzo
Products Edit,prodotti Modifica
Select &amp; Sell,Seleziona & amp; Vendere
Shipments Report,spedizioni Rapporto
Advanced PO Report,Rapporto avanzata PO
System View,system View
Welcome to Dropship Vendor Interface,Benvenuti a Dropship Venditore Interface
Vendor Log in,Venditore Login
Username / Email Address,Nome utente / Indirizzo e-mail
Login,Accesso
Vendor Password Reset,Venditore Password Reset
Email Address/User name,Indirizzo e-mail / nome utente
Reset Password,Reimposta password
Save All Settings,Salvare tutte le impostazioni
Not Applicable,Non applicabile.
Available for Shipping From Date,Disponibile per la spedizione da Data
Available for Shipping To Date,Disponibile per l'invio A Data
Download Existing Labels Batch,Scarica etichette esistenti Batch
Update Shipments Status,Aggiornamento Spedizioni Stato
Available On,"disponibile, 16"
Download,Scaricare
Packing Slip,bolla di accompagnamento
"Please wait, loading shipment information...","Si prega di attendere, informazioni relative al carico spedizione ..."
This action will create shipping labels for all filtered shipments and mark them as shipped.,Questa azione creare etichette di spedizione per tutte le spedizioni filtrati e contrassegnarli come spedito.
This action will print packing slips for all filtered shipments and mark them as ready to ship.,Questa azione di stampare documenti di trasporto per tutte le spedizioni filtrati e contrassegnarli come pronto per la spedizione.
This action will print existing shipping labels for all filtered shipments.,Questa azione di stampare etichette di spedizione esistenti per tutte le spedizioni filtrati.
This action will update status for all filtered shipments.,Questa azione consente di aggiornare lo stato per tutte le spedizioni filtrati.
Left / Ship,Sinistra / Ship
Print label,Stampa etichetta
Delete tracking number and void/refund label if possible,"Cancellare il numero di tracking e l'etichetta vuoto / rimborso, se possibile,"
Partial Availability: ,Disponibilità parziale: 
* Select action,Seleziona azione:
Inform retailer,informare rivenditore
Ship partial,nave parziali
Order Items,ordinate gli articoli
Show/Hide Gift Message for the item above,Mostra / Nascondi regalo Messaggio per la voce precedente
From: %s,Da {0}{0/}{/0}
To: %s,A:%s
Order Gift Message:,Messaggio ordine del regalo:
Show Extra Params,Mostra Extra Parametri
Add Comment<br/>(for retailer),Aggiungi commento <br/> (per rivenditore)
Mark as Shipped,Segna come Spedito
Pkg#,PACCO
Shipment Info/Pkg. Dimensions,Spedizione Info / Pkg. Dimensioni
Use Custom label weight/value,Utilizzare personalizzato etichetta peso / valore
X,***vediti la formula originale***X
px.,px.
No files found,Nessun file trovato
Collapse All,Comprimi tutto
Expand All,Espandi tutto
Register Vendor Account,Registrati Account Venditore
Business Name,Ragione Sociale
Phone Number,Numero di telefono
Quick Register,Registrazione rapida
Setup Wizard,Configurazione guidata
Dropship Vendor Registration,Dropship Venditore Registrazione
Preferred Shipping Carrier,Elemento portante di trasporto preferito
Please select...,Per favore Selezionare ...
Preferred subdomain name,Preferito nome del sottodominio
URL Key,chiave URL
Street Address Line 2,Indirizzo linea 1:
Import Orders File,Importa Ordini File
Import Orders Content,Importa Ordini Content
Import,Importare
Field 1,Campo
Select Field 1,Seleziona il campo:
Field 2,Campo
Select Field 2,Seleziona il campo:
Field 3,Campo
Select Field 3,Seleziona il campo:
Field 4,Campo
Select Field 4,Seleziona il campo:
Field 5,Campo
Select Field 5,Seleziona il campo:
Field Delimiter,Delimitatore di campo
Field Enclosure,Enclosure campo
Import Stock File,Import File della
Import Stock Content,Importa della Content
From PO ID,Da PO ID
To PO ID,Per PO ID
From PO Date,Da PO Data
To PO Date,Per PO data
VIRTUAL PO,PO VIRTUALE
Create Shipments,creare Spedizioni
Create Shipments and Send Customer Notifications,Creare Spedizioni e invia notifiche clienti
"Please wait, loading purchase order information...","Si prega di attendere, informazioni relative al carico acquisto ordinazione ..."
This action will create shipments and shipping labels for all filtered purchase orders and mark them as shipped.,Questa azione creerà le spedizioni e le etichette di spedizione per tutti gli ordini di acquisto filtrati e contrassegnarli come spedito.
This action will print packing slips for all filtered purchase orders and mark them as ready to ship.,Questa azione di stampare documenti di trasporto per tutti gli ordini di acquisto filtrati e contrassegnarli come pronto per la spedizione.
This action will print existing shipping labels for all filtered purchase orders.,Questa azione di stampare etichette di spedizione esistenti per tutti gli ordini di acquisto filtrati.
This action will create shipments for all filtered purchase orders and send customer notification.,Questa azione creerà le spedizioni per tutti gli ordini di acquisto filtrati e inviare la notifica al cliente.
This action will create shipments for all filtered purchase orders.,Questa azione creerà le spedizioni per tutti gli ordini di acquisto filtrati.
This action will update status for all filtered purchase orders.,Questa azione consente di aggiornare lo stato per tutti gli ordini di acquisto filtrati.
Shipment ID,ID della spedizione
Specify New Shipment Shipping Amount,Specificare Nuovo importo Trasporto della spedizione
Add PO Comment,Aggiungi un commento PO
Page:,Pagina:
Previous Page,Pagina precedente
Next Page,Pagina successiva
Previous,Precedente
Next,Successivo
Orders,Ordini
Import Tracking,Import di monitoraggio
Stock And Price,Magazzino e prezzo
Stock,Magazzino
Product Manager,Responsabile del prodotto
Manual Labels,Etichette manuali
Promotions,Promozioni
Edit Offer,Modifica Preventivo
Filter Orders,Filtro ordini
Apply Filter,Applica il filtro
Perform on all retrieved records,Eseguire su tutti i record recuperati
PO # ,P.O. # 
Shipment # ,[00:01:45] la spedizione. 
PO Gift Message:,PO regalo Messaggio:
Import File,Importare file
Import Content,Importa contenuti
Export Purchase Orders,Ordini per l'esportazione di acquisto
Stock PO #,PO Azione #
Stock PO Items,Archivio PO Articoli
Stock PO ID,PO ID
Stock PO Date,PO magazzino Data
PDF Stock POs,PDF della OP
"Please wait, loading stock PO information...","Attendere, caricamento informazioni di borsa PO ..."
This action will update status for all filtered stock POs.,Questa azione consente di aggiornare lo stato per tutti Stock OP filtrati.
Update Info,Aggiornare le informazioni
"Please wait, updating shipment information...","Si prega di attendere, l'aggiornamento delle informazioni di spedizione ..."
Registered Vendor,Venditore registrato
"If you have an account, sign in with your email address.","Se si dispone di un account, accedi con il tuo indirizzo email."
New Vendors,nuovi fornitori
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creazione di un account ha molti vantaggi: check-out veloci, tenere più di un indirizzo, tenere traccia degli ordini e molto altro ancora."
Dear,caro
Your e-mail,La tua e-mail
must be confirmed before using it to log in to our store,Deve essere confermato prima di utilizzarlo per accedere al nostro negozio
This link is valid only once,Questo collegamento è valido una sola volta
Best regards,Cordiali Saluti
Your application request was rejected,La tua richiesta di domanda è stata rifiutata
due to the following reason,A causa del seguente motivo
Thank you for your application,Grazie per la vostra richiesta.
"Your request should be processed shortly, and you should receive a confirmation email.",La tua richiesta dovrebbe essere elaborata in breve tempo e dovresti ricevere un'e-mail di conferma.
Congratulations, your application has been approved!,Congratulazioni, la tua candidatura è stata approvata!
Use the following values when prompted to log in,Utilizzare i seguenti valori quando viene richiesto di accedere
The following products were approved by site administrator,I seguenti prodotti sono stati approvati dall'amministratore del sito
Thanks again for being a Partner Producer,Grazie ancora per essere un produttore partner
All the best,Cordiali saluti,
The following products were marked by site administrator as requiring fix,I seguenti prodotti sono stati contrassegnati dall'amministratore del sito come richiedono la correzione
The following products are pending and waiting for site administrator approve,I seguenti prodotti sono in attesa e in attesa di approvare l'amministratore del sito
Question to ,Domanda a 
regarding shipment,Per quanto riguarda la spedizione
regarding product,Per quanto riguarda il prodotto
has been answered,È stato risposto
Please see details below,Si prega di vedere i dettagli qui sotto
Customer E-mail,Email cliente
Vendor E-mail,Venditore E-mail
You can view details in,È possibile visualizzare i dettagli in
admin area,Area di amministrazione
New Question for,Nuova domanda per
Product,Prodotto 
have been asked,Sono stati chiesti
Your question to,La tua domanda a
Their answer is,La loro risposta è
This email was sent to you because you have requested a password reset.,Questa email ti è stata inviata perché hai richiesto di reimpostare la password.
"If you have not requested a password reset, you can ignore this email","Se non hai richiesto un reset di password, puoi ignorare questa email"
Go to this link to reset your password,Vai a questo collegamento per ripristinare la password
Please find your statement for the previous period attached to this email,Trova la tua dichiarazione per il periodo precedente allegato a questa email
If you have any questions don't hesitate to reach out,Se avete domande non esitate a contattarci
You can also,Puoi anche
log in,Accesso
to view specific information about individual orders,Per visualizzare informazioni specifiche su singoli ordini
Please fulfill this new order,Per favore compia questo nuovo ordine
For,Pe
Please ship via,Si prega di spedire via
"If that is not available, please notify us before shipping.","Se questo non è disponibile, ti preghiamo di informarci prima della spedizione."
The following products reached low stock level,I seguenti prodotti hanno raggiunto un basso livello di magazzino
Store administrator added comment for the order,L'amministratore di archivio ha aggiunto un commento per l'ordine
Thank you for your partnership,Grazie per la tua collaborazione
You have been unsubscribed from the newsletter,Sei stato annullato dalla newsletter
Click here to logon to your shipping control panel,Clicca qui per accedere al tuo pannello di controllo spedizione
Please,Si prega di
logon to your control panel,Accedere al tuo pannello di controllo
and increase qtys if possible,E aumentare qtys se possibile
You can,Tuttavia è possibile
download packing slip PDF here,Scarica il pacchetto di imballaggio PDF qui
Click here to logon to your shipping control panel,Clicca qui per accedere al tuo pannello di controllo spedizione
once you are ready to notify us of the shipment and input tracking numbers.,Una volta che sei pronto per notificarci i numeri di spedizione e di inseguimento degli input.
To confirm the e-mail and instantly log in,Per confermare l'e-mail e accedere immediatamente
Please,Si prega di
Use,Utilizzo
this confirmation link,Questo collegamento di conferma
This link is valid only once.,Questo collegamento è valido una sola volta.
You can reply from the,Puoi rispondere da
vendor portal,Portale del fornitore
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page: Email:","Per accedere al nostro sito, utilizzare queste credenziali durante la verifica o sulla pagina <a href=""%customer_url""> Account personale </a>: Email:"
Password:,Parola d'ordine:
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hai dimenticato la password del tuo account? Fai clic su <a href=""%reset_url""> qui </a> per ripristinarlo."
"When you sign in to your account, you will be able to:","Quando accedi al tuo account, potrai:"
You must confirm your %customer_email email before you can sign in (link is only valid once):,Devi confermare la tua email% customer_email prima di poter effettuare l'accesso (il collegamento è valido una sola volta):
Thank you for confirming your %store_name account.,Grazie per aver confermato il tuo account %store_name.
Proceed through checkout faster,Procedi con la cassa più veloce
Check the status of orders,Controllare lo stato degli ordini
View past orders,Visualizza gli ordini passati
Store alternative addresses (for shipping to multiple family members and friends),Conserva indirizzi alternativi (per la spedizione a più membri della famiglia e agli amici)
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Per accedere al nostro sito e impostare una password, fai clic sul <a href=""%create_password_url""> collegamento </a>:"
Thank you for your order from %store_name.,Grazie per il tuo ordine da %store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puoi controllare lo stato del tuo ordine <a href=""%account_url""> accedere al tuo account </a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se hai domande sul tuo ordine, puoi inviarti una email a <a href=""mailto:%store_email"">% store_email </a>."
Your Credit Memo #%creditmemo_id for Order #%order_id,Il tuo credito Memo #% creditmemo_id per l'ordine #% order_id
Billing Info,Dati di fatturazione
Shipping Info,Dati di spedizione
Payment Method,Metodo di pagamento
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Il tuo ordine #% increment_id è stato aggiornato con uno stato di <strong>% order_status </ strong>.
About Us,Riguardo a noi
Customer Service,Servizio clienti
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Ore di funzionamento: <br /> <span class = ""no-link"">% store_hours </ span>."
Your Invoice #%invoice_id for Order #%order_id,La fattura #% invoice_id per l'ordine #% order_id
Once your package ships we will send you a tracking number.,"Una volta che il pacchetto viene spedito, ti invieremo un numero di tracking."
"Your Order <span class=""no-link"">#%increment_id</span>","Il tuo ordine <span class = ""no-link""> #% increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","Posizionato su <span class = ""no-link"">% created_at </ span>"
There was recently a request to change the password for your account.,C'era recentemente una richiesta di modificare la password per il tuo account.
"If you requested this change, set a new password here:","Se hai chiesto questa modifica, inserisci una nuova password qui:"
Set a New Password,Imposta una nuova password
"If you did not make this request, you can ignore this email and your password will remain the same.","Se non hai fatto questa richiesta, puoi ignorare questa email e la tua password rimarrà la stessa."
The password for your account has been successfully changed.,La password per il tuo account è stata modificata correttamente.
"If you did not request this change, please contact us.","Se non hai richiesto questa modifica, contattaci."
"%name,",Nome
%sender_name wants to share this product with you:,% Sender_name desidera condividere questo prodotto con te:
Message from %sender_name:,Messaggio da% sender_name:
%customer_name wants to share this Wish List from %store_name with you:,% Customer_name desidera condividere questa Wish List da %store_name con te:
Message from %customer_name:,Messaggio da% customer_name:
Your shipping confirmation is below. Thank you again for your business.,La tua conferma di spedizione è sotto. Grazie ancora per la tua attività.
Your Shipment #%shipment_id for Order #%order_id,La tua spedizione #% shipment_id per l'ordine #% order_id
Thank you for subscribing to our newsletter.,Grazie per aver sottoscritto la nostra newsletter.
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Per iniziare a ricevere la newsletter, devi prima confermare l'abbonamento facendo clic sul seguente collegamento:"
You have been successfully subscribed to our newsletter.,Sei stato sottoscritto con successo alla nostra newsletter.
Welcome to,Benvenuto a
Please confirm your,Confermi il tuo
account,account
Credit memo for your,Memorizzazione di credito per l'
Update to your,Aggiorna al
credit memo,memo di credito
Footer,footer
Invoice for your,Fattura per l'
order,ordine
Update to your,Aggiorna la
invoice,fattura
Your,Il tuo
order confirmation,conferma dell'ordine
Update to your,Aggiorna l'ordine
order,ordine
Reset your,Reimpostare la
password,password
password has been changed,password è stata modificata
Products price changed alert,Il prezzo dei prodotti ha cambiato avviso
order has shipped,ordine è stato spedito
Take a look at {{var customerName}}'s Wish List,Date un'occhiata alla Wish List di {{var customerName}}
Update to your,Aggiorna la tua
shipment,spedizione di
Products back in stock alert,Prodotti in attesa di riserva
Newsletter subscription confirmation,Conferma della sottoscrizione della newsletter
Newsletter subscription success,Iscrizione alla newsletter effettuata
Newsletter unsubscription success,Sucesso do cancelamento do boletim informativo
New Vendor Product Approval Notification,Notifica di approvazione del nuovo fornitore del prodotto
Identity Proof request from,Identity Proof richiesta da
First Name,Nome di battesimo
Last Name,Cognome
Application Confirmation from,Conferma di applicazione da
Account confirmation for,Conferma dell'account per
Application Rejected at,Applicazione respinta a
Your application request was rejected,La tua richiesta di domanda è stata rifiutata
due to the following reason,A causa del seguente motivo
has invited you to Join Cibilia.com as Vendor,Ti ha invitato a unire Cibilia.com come Vendor
Motivational Quote,Quotazione motivazionale
Regards,"Saluti,"
Verify Now,verifica ora
Verification Link,Verifica Link
"To verify your information, click on the link below","Per verificare le informazioni, fai clic sul link qui sotto"
has invited you to Join Cibilia.com as Vendor. His Motivation Quote is as follows,Ti ha invitato a unire Cibilia.com come Vendor.La sua motivazione è come segue
Vendor Type Selection Email  for,Selezione del tipo di fornitore per
to select  your vendor type,Per selezionare il tipo di fornitore
Product Sku,SKU del prodotto.
Product Name,Nome del prodotto
The following Product is Approve by site administrator,Il seguente prodotto è approvato dall'amministratore del sito
The following Cibilian Product is Approve by site administrator,Il seguente prodotto cibilliano è approvato dall'amministratore del sito
Identity Proof Approval for,Approvazione di prova di identità per
Identity Proof request from,Identity Proof richiesta da
Your Identity Proof has been approved,Il tuo Identity Proof è stato approvato
Product Approval Notification,Notifica di approvazione del prodotto
Cibilian Name,Nome cibilliano
Cibilian Email,Email messaggero
Withdrawl request from,Richiesta di ritiro da
has submitted withdrawal request for amount,Ha presentato la richiesta di prelievo per l'importo
Vendor Type Updated for,Tipo fornitore aggiornato per
has updated their vendor type as,Ha aggiornato il tipo di fornitore come
Payment Transaction Failed Reminder,Promemoria fallita della transazione di pagamento
Contact Form,Modulo di contatto
Products price changed alert,Il prezzo dei prodotti ha cambiato avviso
Products back in stock alert,Prodotti in attesa di riserva
New Shipment Request for Order,Nuova richiesta di spedizione per l'ordine
From,Ora di inizio
Update,Aggiornare
Vendor password reset instructions from,Istruzioni di resettazione password fornitore da
Statement for,Dichiarazione per
Low stock products notification,Notifica di prodotti bassi
Question replied by vendor,Domanda risposta dal venditore
New Question,nuova domanda
for Shipment #,Per la spedizione #
for Product,Per il prodotto
Question replied by vendor,Domanda risposta dal venditore
Approved products notification,Notifica di prodotti approvati
Approved products notification for,Notifica di prodotti approvati per
Fix products notification,Notifica dei prodotti di Fix
Fix products notification for,Rilasciare la notifica dei prodotti per
Pending products notification,Notifica di prodotti in sospeso
Pending products notification for,Notifica di prodotti in sospeso per
Account confirmation for,Conferma dell'account per 
At,Alla
Application Rejected at,Applicazione respinta a
Origin of raw materials,Herkunft der Rohstoffe
