Download Labels,Télécharger étiquettes
To RMA Date,Date de retour à
Direction,Sens de Navigation
Reason,Commentaire
Perform on all retrieved records:,Effectuer tous les enregistrements récupérés:
* No action,1-3 : Aucune action.
Collapse all rows,Réduire toutes les lignes
Expand all rows,Développez toutes les lignes
"Please wait, loading RMA information...","S'il vous plaît patienter, chargement des informations RMA ..."
This action will print PDF for all filtered purchase orders.,Cette action imprimera PDF pour toutes les commandes filtrées.
Please select a status.,S'il vous plaît sélectionner un état.
This action will update status for all filtered RMAs.,Cette action mettra à jour le statut de tous les filtrés RMAs.
Qty Available,Qté disponible
Proceed with tracking ID deletion?,Procéder à la suppression d'ID de suivi?
Tracking IDs,ID de suivi
Delete tracking number,Supprimer le numéro de suivi
RMA Items,Articles RMA
Carrier Title,transporteur Titre
Add Tracking ID,Ajouter l'ID de suivi
Add Comment,Ajouter un commentaire
Visible to Customer,Visible au Client
Change Status,Modifier le Statut
Resolution Notes,Remarques résolution
Add RMA Comment,Ajouter un commentaire RMA
Comments history,histoire Commentaires
My Orders,Mes commandes
Ship To,Envoyer à :
View Order,Voir la commande
Track Order,Suivi de commande
Reorder,Re-Commander
View RMA,Voir le RMA
Request RMA,Demande RMA
You have placed no orders.,Vous avez passé aucune commande.
Order #%s - %s,"Ordre - {0}%s{/0} , {0}%s{/0}"
Subscribe to Order Status,Abonnez-vous à la commande État
Print Order,Afin d'impression
About This Order:,A propos de cet ordre:
Order Date: %s,Date de la commande : {0}%s{/0}
No shipping information available,Aucune information d'expédition disponible
Instructions,Mode d'emploi
Order #%s,Commande %s
Shipment #%s,Expédition #%s
Recent Orders,Commandes récentes 
View All,Voir tout
General Notes,Généralités
RMA Sender,Sender RMA
RMA Receiver,RMA récepteur
Track this RMA,Suivre ce RMA
Print Label,Étiquette d'impression
Tracking Number(s):,Numéros de suivi):
of %s,de%s
Create New RMA,Créer un nouveau RMA
Create RMA,Créer RMA
Back to My Orders,Retour à Mes commandes
From Vendor Price,A partir de Prix du vendeur
To Vendor Price,Au fournisseur Prix
Update Information On This Page,Mise à jour de l'information sur cette page
About the calendar,A propos du calendrier
DHTML Date/Time Selector,DHTML Date / heure Sélecteur
For latest version visit: %s,Pour la dernière visite de version:%s
Distributed under GNU LGPL. See %s for details.,Distribué sous GNU LGPL. Voir%s pour plus de détails.
Date selection:,sélection Date:
"- Use the %s, %s buttons to select year","- Utilisez%s, les boutons% pour sélectionner l'année"
- Use the %s buttons to select month,- Utilisez les touches du% pour sélectionner mois
#NAME?,'= Certains livrables en difficulté.
Time selection:,Sélection de l'heure:
#NAME?,'= Certains livrables en difficulté.
#NAME?,'= Attention: La date de la prochaine porte et se rapproche de certains livrables ne sont pas terminées.
#NAME?,'= Certains livrables en difficulté.
Prev. year (hold for menu),Précédent. année (maintenez pour le menu)
Prev. month (hold for menu),Précédent. mois (maintenez pour le menu)
Go Today,Go Aujourd'hui
Next month (hold for menu),Le mois prochain (maintenez pour le menu)
Next year (hold for menu),L'année prochaine (maintenez pour le menu)
Select date,Sélectionnez une date
Drag to move,Glisser pour déplacer
Display %s first,Affichage%s premier
Close,Fermer
(Shift-)Click or drag to change value,(Maj-) Cliquez ou faites glisser pour changer la valeur
Time:,Heure :
Skip to Main Content,Aller au contenu principal
Dashboard,Tableau de bord
Stock POs,Stock OREN
Pending Stock PO,En attente Stock PO
Commission Percents,Commission pourcentages
Settings,Réglages
Import Stock,Stock d'importation
Manage Stock And Price,Gérer le stock et le prix
Products Edit,produits Modifier
Select &amp; Sell,Sélectionnez & amp; Vendre
Shipments Report,Rapport des expéditions
Advanced PO Report,Rapport avancée PO
System View,Voir le système
Welcome to Dropship Vendor Interface,Bienvenue dropship Interface fournisseur
Vendor Log in,Vendeur Connexion
Username / Email Address,Nom d'utilisateur / Adresse e-mail
Login,Identifiant 
Vendor Password Reset,Remise à zéro du mot de passe fournisseur
Email Address/User name,Adresse e-mail / Nom d'utilisateur
Reset Password,Réinitialiser le mot de passe
Save All Settings,Enregistrer tous les paramètres
Not Applicable,Non Applicable
Available for Shipping From Date,Disponible pour livraison Date d'entrée
Available for Shipping To Date,Disponible pour livraison à ce jour
Download Existing Labels Batch,Télécharger les étiquettes existantes Lot
Update Shipments Status,Les expéditions de mise à jour Statut
Available On,Disponible sur
Download,Télécharger 
Packing Slip,bordereau d'expédition
"Please wait, loading shipment information...","S'il vous plaît attendre, informations sur l'envoi de chargement ..."
This action will create shipping labels for all filtered shipments and mark them as shipped.,Cette action permettra de créer des étiquettes d'expédition pour tous les envois filtrés et les marquer comme expédiés.
This action will print packing slips for all filtered shipments and mark them as ready to ship.,Cette action permet d'imprimer les bordereaux d'emballage pour tous les envois filtrés et les marquer comme prêt pour l'expédition.
This action will print existing shipping labels for all filtered shipments.,Cette action permet d'imprimer des étiquettes d'expédition existants pour toutes les expéditions filtrées.
This action will update status for all filtered shipments.,Cette action mettra à jour le statut de tous les envois filtrés.
Left / Ship,Gauche / Bateau
Print label,Imprimer l'étiquette
Delete tracking number and void/refund label if possible,Supprimer le numéro de suivi et vide / étiquette de remboursement si possible
Partial Availability: ,Disponibilité partielle: 
* Select action,Sélectionner une action
Inform retailer,informer détaillant
Ship partial,navire partiel
Order Items,Commander Articles
Show/Hide Gift Message for the item above,Afficher / Masquer un message cadeau pour l'élément ci-dessus
From: %s,Par %1$s
To: %s,CGU
Order Gift Message:,Pour un message cadeau:
Show Extra Params,Afficher supplémentaire Params
Add Comment<br/>(for retailer),Ajouter un commentaire <br/> (pour le détaillant)
Mark as Shipped,Marquer comme expédié
Pkg#,pkg #
Shipment Info/Pkg. Dimensions,Informations d'expédition / Emb. Dimension
Use Custom label weight/value,Utilisez poids / valeur étiquette personnalisée
X,X
px.,px.
No files found,Aucun fichier trouvé
Collapse All,Réduire tout
Expand All,Développer tout
Register Vendor Account,Inscrivez-vous compte vendeur
Business Name,Nom de la société
Phone Number,Téléphone
Quick Register,Inscription rapide
Setup Wizard,Assistant d'installation
Dropship Vendor Registration,Inscription dropship fournisseur
Preferred Shipping Carrier,Préféré Expédition Transporteur
Please select...,--sélectionnez--
Preferred subdomain name,Nom préféré sous-domaine
URL Key,URL clé
Street Address Line 2,Adresse ligne 2
Import Orders File,Les commandes d'importation de fichiers
Import Orders Content,Contenu des commandes d'importation
Import,Importer
Field 1,Champ
Select Field 1,Menu de sélection
Field 2,Champ
Select Field 2,Menu de sélection
Field 3,Champ
Select Field 3,Menu de sélection
Field 4,Champ
Select Field 4,Menu de sélection
Field 5,Champ
Select Field 5,Menu de sélection
Field Delimiter,Délimiteur de champ
Field Enclosure,champ boîtier
Import Stock File,Fichier de stock d'importation
Import Stock Content,Importer le contenu Stock
From PO ID,De ID PO
To PO ID,Pour ID PO
From PO Date,Date d'entrée PO
To PO Date,À ce jour PO
VIRTUAL PO,VIRTUAL PO
Create Shipments,Créer livraisons
Create Shipments and Send Customer Notifications,Créer et livraisons Envoyer Notifications clients
"Please wait, loading purchase order information...","S'il vous plaît attendre, l'achat chargement des informations de commande ..."
This action will create shipments and shipping labels for all filtered purchase orders and mark them as shipped.,Cette action permettra de créer des expéditions et des étiquettes d'expédition pour toutes les commandes filtrées et les marquer comme expédiés.
This action will print packing slips for all filtered purchase orders and mark them as ready to ship.,Cette action permet d'imprimer les bordereaux d'emballage pour toutes les commandes filtrées et les marquer comme prêt pour l'expédition.
This action will print existing shipping labels for all filtered purchase orders.,Cette action permet d'imprimer des étiquettes d'expédition existants pour toutes les commandes filtrées.
This action will create shipments for all filtered purchase orders and send customer notification.,Cette action permettra de créer des livraisons pour toutes les commandes filtrées et envoyer une notification à la clientèle.
This action will create shipments for all filtered purchase orders.,Cette action permettra de créer des livraisons pour toutes les commandes filtrées.
This action will update status for all filtered purchase orders.,Cette action mettra à jour le statut de toutes les commandes filtrées.
Shipment ID,Shipment ID
Specify New Shipment Shipping Amount,Précisez Nouvel arrivage Frais de
Add PO Comment,Ajouter PO Commentaire
Page:,Page
Previous Page,Page précédente
Next Page,Page suivante
Previous,Précédent
Next,Suivant
Orders,Commandes
Import Tracking,Suivi des importations
Stock And Price,Stock et prix
Stock,Le Stock
Product Manager,Chef de produit
Manual Labels,Les étiquettes manuelles
Promotions,Promotion
Edit Offer,Modifier l'offre
Filter Orders,Commandes de filtre
Apply Filter,Appliquer le filtre
Perform on all retrieved records,Effectuer tous les enregistrements récupérés
PO # ,Pr 
Shipment # ,expédition 
PO Gift Message:,PO Message cadeau:
Import File,Importer le fichier
Import Content,Contenu importé
Export Purchase Orders,Les commandes d'achat d'exportation
Stock PO #,Stock PO #
Stock PO Items,Articles Stock PO
Stock PO ID,ID Stock PO
Stock PO Date,Date de bon de commande Stock
PDF Stock POs,PDF Stock OREN
"Please wait, loading stock PO information...","S'il vous plaît patienter, chargement des informations PO en stock ..."
This action will update status for all filtered stock POs.,Cette action mettra à jour le statut de tous les bons de commande des actions filtrées.
Update Info,Information sur la mise à jour
"Please wait, updating shipment information...","S'il vous plaît attendre, la mise à jour des informations d'expédition ..."
Registered Vendor,Vendeur enregistré
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse e-mail."
New Vendors,Nouveaux vendeurs
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","
La création d'un compte présente de nombreux avantages: consultez plus rapidement, conservez plus d'une adresse, suivez les commandes et plus encore."
Dear,cher
Your e-mail,Votre e-mail
must be confirmed before using it to log in to our store,Doit être confirmé avant de l'utiliser pour vous connecter à notre magasin
This link is valid only once,Ce lien est valable seulement une fois
Best regards,Meilleures salutations
Your application request was rejected,Votre demande de demande a été rejetée
due to the following reason,En raison de la raison suivante
Thank you for your application,Merci pour votre inscription
"Your request should be processed shortly, and you should receive a confirmation email.","Votre demande devrait être traitée sous peu, et vous devriez recevoir un email de confirmation."
Congratulations, your application has been approved!,Félicitations, votre demande a été approuvée!
Use the following values when prompted to log in,Utilisez les valeurs suivantes lorsque vous êtes invité à vous connecter
The following products were approved by site administrator,Les produits suivants ont été approuvés par l'administrateur du site
Thanks again for being a Partner Producer,Merci encore d'être un producteur partenaire
All the best,Bonne chance pour la suite.
The following products were marked by site administrator as requiring fix,Les produits suivants ont été marqués par l'administrateur du site comme nécessitant une correction
The following products are pending and waiting for site administrator approve,Les produits suivants sont en attente et attendent que l'administrateur du site approuve
Question to ,Question 94 à 107 
regarding shipment,Concernant l'expédition
regarding product,Concernant le produit
has been answered,ont été répondu.
Please see details below,Voir les détails ci-dessous.
Customer E-mail,Courriel du client
Vendor E-mail,E-mail du vendeur
You can view details in,Vous pouvez afficher les détails dans
admin area,Zone d'administration
New Question for,Nouvelle question pour
Product,Produit  
have been asked,A été demandé
Your question to,Votre question à
Their answer is,Leur réponse est
This email was sent to you because you have requested a password reset.,Ce courriel vous a été envoyé parce que vous avez demandé une réinitialisation du mot de passe.
"If you have not requested a password reset, you can ignore this email","Si vous n'avez pas demandé une réinitialisation de mot de passe, vous pouvez ignorer cet email"
Go to this link to reset your password,Accédez à ce lien pour réinitialiser votre mot de passe
Please find your statement for the previous period attached to this email,Veuillez trouver votre déclaration pour la période précédente jointe à cet email
If you have any questions don't hesitate to reach out,"Si vous avez des questions, n'hésitez pas à contacter"
You can also,Vous pouvez aussi
log in,Connectez-vous
to view specific information about individual orders,Pour afficher des informations spécifiques sur les commandes individuelles
Please fulfill this new order,Veuillez remplir cette nouvelle commande
For,Pour
Please ship via,Envoyez-vous via
"If that is not available, please notify us before shipping.","Si cela n'est pas disponible, veuillez nous en informer avant l'expédition."
The following products reached low stock level,Les produits suivants ont atteint un faible niveau de stock
Store administrator added comment for the order,L'administrateur du magasin a ajouté un commentaire pour la commande
Thank you for your partnership,Merci pour votre partenariat
You have been unsubscribed from the newsletter,Vous avez été désabonné de la newsletter
Click here to logon to your shipping control panel,Cliquez ici pour vous connecter à votre panneau de contrôle d'expédition
Please,S'il vous plaît
logon to your control panel,Connectez-vous à votre panneau de contrôle
and increase qtys if possible,Et augmenter qtys si possible
You can,Vous pouve
download packing slip PDF here,Téléchargez le bulletin de livraison PDF ici
Click here to logon to your shipping control panel,Cliquez ici pour vous connecter à votre panneau de contrôle d'expédition
once you are ready to notify us of the shipment and input tracking numbers.,Une fois que vous êtes prêt à nous informer de l'envoi et des numéros de suivi des intrants.
To confirm the e-mail and instantly log in,Pour confirmer l'e-mail et se connecter instantanément
Please,S'il vous plaît
Use,Utiliser
this confirmation link,Ce lien de confirmation
This link is valid only once.,Ce lien est valable une seule fois.
You can reply from the,Vous pouvez répondre à partir de
vendor portal,Portail fournisseur
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page: Email:","Pour vous connecter à notre site, utilisez ces informations d'identification lors de la caisse ou sur la page <a href=""%customer_url""> Mon compte </a>: Email:"
Password:,Mot de passe:
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Vous avez oublié votre mot de passe? Cliquez sur <a href=""%reset_url""> ici </a> pour le réinitialiser."
"When you sign in to your account, you will be able to:","Lorsque vous vous connectez à votre compte, vous pourrez:"
You must confirm your %customer_email email before you can sign in (link is only valid once):,Vous devez confirmer votre email% customer_email avant de pouvoir vous connecter (le lien n'est valable qu'une seule fois):
Thank you for confirming your %store_name account.,Nous vous remercions d'avoir confirmé votre compte %store_name.
Proceed through checkout faster,Procédez à la caisse plus rapidement
Check the status of orders,Vérifiez l'état des commandes
View past orders,Afficher les commandes passées
Store alternative addresses (for shipping to multiple family members and friends),Entreposer les adresses alternatives (pour l'expédition vers plusieurs membres de la famille et des amis)
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pour vous connecter à notre site et définir un mot de passe, cliquez sur le lien <a href=""%create_password_url""> </a>:"
Thank you for your order from %store_name.,Nous vous remercions de votre commande de %store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Vous pouvez vérifier l'état de votre commande par <a href=""%account_url""> vous connecter à votre compte </a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si vous avez des questions sur votre commande, vous pouvez nous envoyer un courriel à <a href=""mailto:%store_email"">% store_email </a>."
Your Credit Memo #%creditmemo_id for Order #%order_id,Votre note de crédit #% creditmemo_id pour la commande #% order_id
Billing Info,Informations de facturation
Shipping Info,Informations de livraison
Payment Method,Mode de paiement
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Votre commande #% increment_id a été mise à jour avec un état de <strong>% order_status </ strong>.
About Us,À propos de DOINN
Customer Service,Service clients
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Heures d'ouverture: <br /> <span class = ""no-link"">% store_hours </ span>."
Your Invoice #%invoice_id for Order #%order_id,Votre facture #% invoice_id pour la commande #% order_id
Once your package ships we will send you a tracking number.,"Une fois que votre colis expédie, nous vous enverrons un numéro de suivi."
"Your Order <span class=""no-link"">#%increment_id</span>","Votre commande <span class = ""no-link""> #% increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","Placé sur <span class = ""no-link"">% created_at </ span>"
There was recently a request to change the password for your account.,Il y a eu récemment une demande de modification du mot de passe pour votre compte.
"If you requested this change, set a new password here:","Si vous avez demandé ce changement, configurez un nouveau mot de passe ici:"
Set a New Password,Définir un nouveau mot de passe
"If you did not make this request, you can ignore this email and your password will remain the same.","Si vous n'avez pas effectué cette demande, vous pouvez ignorer ce courrier électronique et votre mot de passe restera le même."
The password for your account has been successfully changed.,Le mot de passe de votre compte a été changé avec succès.
"If you did not request this change, please contact us.","Si vous n'avez pas demandé ce changement, contactez-nous."
"%name,","%prénom,"
%sender_name wants to share this product with you:,% Sender_name veut partager ce produit avec vous:
Message from %sender_name:,Message de% sender_name:
%customer_name wants to share this Wish List from %store_name with you:,% Customer_name veut partager cette Wish List de %store_name avec vous:
Message from %customer_name:,Message de% customer_name:
Your shipping confirmation is below. Thank you again for your business.,Votre confirmation d'expédition est ci-dessous. Merci encore pour votre entreprise.
Your Shipment #%shipment_id for Order #%order_id,Votre envoi #% shipment_id pour la commande #% order_id
Thank you for subscribing to our newsletter.,Merci de vous abonner à notre newsletter.
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Pour commencer à recevoir la newsletter, vous devez d'abord confirmer votre abonnement en cliquant sur le lien suivant:"
You have been successfully subscribed to our newsletter.,Vous avez été abonné avec succès à notre newsletter.
Welcome to,Bienvenue sur
Please confirm your,Confirmez votre
account,compte
Credit memo for your,Mémo de crédit pour votre
Update to your,Mise à jour de votre
credit memo,note de crédit
Footer,Bas de page
Invoice for your,Facture pour votre
order,commande
Update to your,Mettre à jour votre
invoice, facture d'achat
Your,Votre
order confirmation,confirmation de commande
Update to your,Mettre à jour votre
order,commande
Reset your,Réinitialisez votre mot de
password,passe
password has been changed,mot de passe a été modifié
Products price changed alert,Le prix des produits a changé d'alerte
order has shipped,commande a été expédiée
Take a look at {{var customerName}}'s Wish List,Jetez un oeil à la liste de souhaits de {{var customerName}}
Update to your,Mettre à jour
shipment,votre envoi
Products back in stock alert,Retour des produits en stock
Newsletter subscription confirmation,Confirmation d'abonnement à la newsletter
Newsletter subscription success,souscription a la newsletter reussie
Newsletter unsubscription success,Succès de désinscription de la newsletter
New Vendor Product Approval Notification,Nouvelle notification d'approbation de produit de fournisseur
The following Product is Approve by site administrator,Le produit suivant est approuvé par l'administrateur du site
Identity Proof request from,Demande de preuve d'identité de
First Name,Prénom
Last Name,Nom de famille
Application Confirmation from,Confirmation de l'application de
Account confirmation for,Confirmation du compte pour
Application Rejected at,Application rejetée à
Your application request was rejected,Votre demande de demande a été rejetée
due to the following reason,En raison de la raison suivante
has invited you to Join Cibilia.com as Vendor,Vous a invité à rejoindre Cibilia.com en tant que fournisseur
Motivational Quote,Citation de motivation
Regards,"Cordialement,"
Verify Now,Vérifiez maintenant
Verification Link,Lien de vérification
"To verify your information, click on the link below","Pour vérifier vos informations, cliquez sur le lien ci-dessous"
has invited you to Join Cibilia.com as Vendor. His Motivation Quote is as follows,Vous a invité à rejoindre Cibilia.com en tant que vendeur.Sa citation de motivation est la suivante
Vendor Type Selection Email  for,Sélection du type de fournisseur Email pour
to select  your vendor type,Pour sélectionner votre type de fournisseur
Product Sku,Product Sku
Product Name,Nom du produit
The following Cibilian Product is Approve by site administrator,Le produit Cibilian suivant est approuvé par l'administrateur du site
Identity Proof Approval for,Approbation d'identité pour
Identity Proof request from,Demande de preuve d'identité de
Your Identity Proof has been approved,Votre preuve d'identité a été approuvée
Product Approval Notification,Notification d'approbation du produit
Cibilian Name,Nom de Cibilian
Cibilian Email,Cibilian Email
Withdrawl request from,Demande de retrait de
has submitted withdrawal request for amount,A présenté une demande de retrait pour le montant
Vendor Type Updated for,Type de fournisseur mis à jour pour
has updated their vendor type as,A mis à jour son type de fournisseur
Payment Transaction Failed Reminder,Rappel échoué de la transaction de paiement
Contact Form,Formulaire de contact
Products price changed alert,Le prix des produits a changé d'alerte
Products back in stock alert,Retour des produits en stock
New Shipment Request for Order,Nouvelle demande de commande pour commande
From,De 
Update,Mise à jour
Vendor password reset instructions from,Instructions de réinitialisation du mot de passe du fournisseur de
Statement for,Déclaration pour
Low stock products notification,Notification des produits stock bas
Question replied by vendor,Question posée par le vendeur
New Question,Nouvelle question
for Shipment #,pour expédition #
for Product,Pour produit
Question replied by vendor,Question posée par le vendeur
Approved products notification,La notification des produits approuvés
Approved products notification for,Notification des produits approuvés pour
Fix products notification,Fixer la notification des produits
Fix products notification for,Fixer la notification des produits pour
Pending products notification,Avis concernant les produits en attente
Pending products notification for,Notifications de produits en attente pour
Account confirmation for,Confirmation du compte pour 
At,at
Application Rejected at,Application rejetée à
