Download Labels,Download de etiquetas
(Shift-)Click or drag to change value,(Shift-) Clique ou arraste para alterar o valor
Time:,Tempo:
Skip to Main Content,Ir para o conteúdo principal
Dashboard,painel de controle
Stock POs,POs de ações
Pending Stock PO,PO de estoque pendente
Commission Percents,Comissão Porcentagem
Settings,Configurações
Import Stock,Estoque de Importação
Manage Stock And Price,Gerenciar estoque e preço
Products Edit,Produtos Editar
Select &amp; Sell,Selecione & amp; Vender
Shipments Report,Relatório de remessas
Advanced PO Report,Relatório de pedido avançado
System View,Visualização do sistema
Welcome to Dropship Vendor Interface,Bem-vindo à Dropship Vendor Interface
Vendor Log in,Entrar no Vendedor
Username / Email Address,Nome de usuário / endereço de e-mail
Login,Entrar
Vendor Password Reset,Redefinição de senha do fornecedor
Email Address/User name,Endereço de e-mail / Nome de usuário
Reset Password,Trocar a senha
Save All Settings,Salvar todas as configurações
Not Applicable,Não aplicável
Available for Shipping From Date,Disponível para envio a partir de data
Available for Shipping To Date,Disponível para envio até à data
Download Existing Labels Batch,Faça o download do lote de etiquetas existente
Update Shipments Status,Atualizar status de remessas
Available On,Disponível em
Download,Transferir
Packing Slip,Talão de embalagem
"Please wait, loading shipment information...","Aguarde, carregando informações de remessa ..."
This action will create shipping labels for all filtered shipments and mark them as shipped.,Esta ação criará etiquetas de remessa para todas as remessas filtradas e as marcará como enviadas.
This action will print packing slips for all filtered shipments and mark them as ready to ship.,Esta ação imprimirá as bordas de remessa para todos os envios filtrados e os marcará como prontos para serem enviados.
This action will print existing shipping labels for all filtered shipments.,Esta ação imprimirá as etiquetas de remessa existentes para todos os envios filtrados.
This action will update status for all filtered shipments.,Essa ação atualizará o status de todos os envios filtrados.
Left / Ship,Esquerda / Navio
Print label,Imprimir etiqueta
Delete tracking number and void/refund label if possible,"Eliminar o número de rastreio e a etiqueta void / refund, se possível"
Partial Availability: ,Disponibilidade parcial:
* Select action,* Selecionar ação
Inform retailer,Informar o revendedor
Ship partial,Navio parcial
Order Items,Itens de ordem
Show/Hide Gift Message for the item above,Mostrar / ocultar mensagem de presente para o item acima
From: %s,De:% s
To: %s,Para:% s
Order Gift Message:,Mensagem do presente do pedido:
Show Extra Params,Mostrar Parâmetros Adicionais
Add Comment<br/>(for retailer),Adicionar comentário <br/> (para o varejista)
Mark as Shipped,Marcar como enviado
Pkg#,Pkg #
Shipment Info/Pkg. Dimensions,Informações de envio / Pkg. Dimensões
Use Custom label weight/value,Usar peso / valor da etiqueta personalizada
X,X
px.,Px.
No files found,Nenhum arquivo encontrado
Collapse All,Recolher todos
Expand All,Expandir todos
Register Vendor Account,Registrar conta de fornecedor
Business Name,Nome da empresa
Phone Number,Número de telefone
Quick Register,Registro Rápido
Setup Wizard,Assistente de configuração
Dropship Vendor Registration,Registro do Vendedor Dropship
Preferred Shipping Carrier,Operadora de transporte preferencial
Please select...,Por favor selecione...
Preferred subdomain name,Nome do subdomínio preferido
URL Key,Chave de URL
Street Address Line 2,Endereço Linha 2
Import Orders File,Arquivo de pedidos de importação
Import Orders Content,Importação de Conteúdo de Pedidos
Import,Importar
Field 1,Campo 1
Select Field 1,Selecione Campo 1
Field 2,Campo 2
Select Field 2,Selecionar Campo 2
Field 3,Campo 3
Select Field 3,Selecione o campo 3
Field 4,Campo 4
Select Field 4,Selecionar Campo 4
Field 5,Campo 5
Select Field 5,Selecione Campo 5
Field Delimiter,Delimitador de campo
Field Enclosure,Recinto de Campo
Import Stock File,Arquivo de arquivo de importação
Import Stock Content,Conteúdo de estoque de importação
From PO ID,De ID de PO
To PO ID,Para PO ID
From PO Date,De PO Data
To PO Date,Para PO Data
VIRTUAL PO,PO VIRTUAL
Create Shipments,Criar remessas
Create Shipments and Send Customer Notifications,Criar remessas e enviar notificações ao cliente
"Please wait, loading purchase order information...","Aguarde, carregando as informações da ordem de compra ..."
This action will create shipments and shipping labels for all filtered purchase orders and mark them as shipped.,Esta ação criará remessas e etiquetas de remessa para todas as ordens de compra filtradas e as marcará como enviadas.
This action will print packing slips for all filtered purchase orders and mark them as ready to ship.,Esta ação imprimirá as bordas de remessa para todas as ordens de compra filtradas e as marcará como prontas para serem enviadas.
This action will print existing shipping labels for all filtered purchase orders.,Esta ação imprimirá as etiquetas de remessa existentes para todas as ordens de compra filtradas.
This action will create shipments for all filtered purchase orders and send customer notification.,Esta ação criará remessas para todas as ordens de compra filtradas e enviará notificação ao cliente.
This action will create shipments for all filtered purchase orders.,Esta ação criará remessas para todas as ordens de compra filtradas.
This action will update status for all filtered purchase orders.,Essa ação atualizará o status de todas as ordens de compra filtradas.
Shipment ID,ID de remessa
Specify New Shipment Shipping Amount,Especifique o novo valor de remessa da remessa
Add PO Comment,Adicionar PO Comentário
Page:,Página:
Previous Page,Página anterior
Next Page,Próxima página
Previous,Anterior
Next,Próximo
Orders,Ordens
Import Tracking,Rastreamento de importação
Stock And Price,Estoque e preço
Stock,estoque
Product Manager,Gerente de Produto
Manual Labels,Etiquetas manuais
Promotions,Promoções
Edit Offer,Editar oferta
Filter Orders,Ordens de filtro
Apply Filter,Aplicar filtro
Perform on all retrieved records,Executar em todos os registros recuperados
PO # ,PO #
Shipment # ,Envio #
PO Gift Message:,Mensagem do presente de OP:
Import File,Importar arquivo
Import Content,Importar Conteúdo
Export Purchase Orders,Expor as ordens de compra
Stock PO #,Stock PO #
Stock PO Items,Stock PO Itens
Stock PO ID,ID de PO de estoque
Stock PO Date,Data de PO de estoque
PDF Stock POs,PDF Stock POs
"Please wait, loading stock PO information...","Aguarde, carregando informações sobre o estoque ..."
This action will update status for all filtered stock POs.,Essa ação atualizará o status de todas as OPs de estoque filtradas.
Update Info,Informação de atualização
"Please wait, updating shipment information...","Aguarde, atualizando informações de remessa ..."
Registered Vendor,Fornecedor Registado
"If you have an account, sign in with your email address.","Se você tiver uma conta, faça login com seu endereço de e-mail."
New Vendors,Novos fornecedores
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","A criação de uma conta tem muitos benefícios: verifique mais rápido, mantenha mais de um endereço, rastreie ordens e muito mais."
Dear,caro
Your e-mail,Seu email
must be confirmed before using it to log in to our store,Deve ser confirmado antes de usá-lo para fazer login em nossa loja
This link is valid only once,Este link é válido apenas uma vez
Best regards,Cumprimentos
Your application request was rejected,Sua solicitação de aplicativo foi rejeitada
due to the following reason,Devido ao seguinte motivo
Thank you for your application,Obrigado pela sua aplicação
"Your request should be processed shortly, and you should receive a confirmation email.","Seu pedido deve ser processado em breve, e você deve receber um e-mail de confirmação."
Congratulations, your application has been approved!,Parabéns, seu pedido foi aprovado!
Use the following values when prompted to log in,Use os seguintes valores quando solicitado a efetuar login
The following products were approved by site administrator,Os seguintes produtos foram aprovados pelo administrador do site
Thanks again for being a Partner Producer,Agradecemos novamente por ser um produtor parceiro
All the best,Muito bem sucedida
The following products were marked by site administrator as requiring fix,Os seguintes produtos foram marcados pelo administrador do site como sendo necessário corrigir
The following products are pending and waiting for site administrator approve,Os seguintes produtos estão pendentes e aguardando aprovação pelo administrador do site
Question toÂ ,Pergunta para
regarding shipment,Sobre a remessa
regarding product,Sobre o produto
has been answered,Foi respondido
Please see details below,Veja detalhes abaixo
Customer E-mail,Email do cliente
Vendor E-mail,E-mail do fornecedor
You can view details in,Você pode ver detalhes em
admin area,Área de administração
New Question for,Nova pergunta para
ProductÂ ,Produto
have been asked,Foram perguntados
Your question to,Sua pergunta para
Their answer is,Sua resposta é
This email was sent to you because you have requested a password reset.,Este e-mail foi enviado para você porque você solicitou uma redefinição de senha.
"If you have not requested a password reset, you can ignore this email","Se você não solicitou uma redefinição de senha, ignore este e-mail"
Go to this link to reset your password,Acesse este link para redefinir sua senha
Please find your statement for the previous period attached to this email,"Por favor, encontre seu extrato do período anterior anexado a este e-mail"
If you have any questions don't hesitate to reach out,"Se você tiver alguma dúvida, não hesite em"
You can also,Você também pode
log in,entrar
to view specific information about individual orders,Para ver informações específicas sobre pedidos individuais
Please fulfill this new order,"Por favor, preencha esta nova ordem"
For,Para
Please ship via,"Por favor, envie via"
"If that is not available, please notify us before shipping.","Se isso não estiver disponível, notifique-nos por favor antes de enviar."
The following products reached low stock level,Os seguintes produtos atingiram níveis de estoque baixos
Store administrator added comment for the order,Comentário do administrador da loja adicionado para a ordem
Thank you for your partnership,Obrigado pela sua parceria
You have been unsubscribed from the newsletter,Você foi cancelado da newsletter
Click here to logon to your shipping control panel,Clique aqui para efetuar login no painel de controle de envio
Please,Por favor
logon to your control panel,Logon no seu painel de controle
and increase qtys if possible,E aumentar qtys se possível
You can,Você pode
download packing slip PDF here,Faça o download do folheto informativo PDF aqui
Click here to logon to your shipping control panel,Clique aqui para efetuar login no painel de controle de envio
once you are ready to notify us of the shipment and input tracking numbers.,Uma vez que você está pronto para nos notificar da remessa e os números de rastreamento de entrada.
To confirm the e-mail and instantly log in,Para confirmar o e-mail e efetuar login instantaneamente
Please,Por favor
Use,Usar
this confirmation link,Este link de confirmação
This link is valid only once.,Este link é válido somente uma vez.
You can reply from the,Você pode responder
vendor portal,Portal de fornecedores
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page: Email:","Para iniciar sessão no nosso site, utilize estas credenciais durante a saída ou na página <a href=""%customer_url""> A minha conta </a>: Email:"
Password:,Senha:
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu a senha da sua conta? Clique <a href=""%reset_url""> aqui </a> para redefini-lo."
"When you sign in to your account, you will be able to:","Ao fazer login em sua conta, você será capaz de:"
You must confirm your %customer_email email before you can sign in (link is only valid once):,Você deve confirmar seu e-mail% customer_email antes de fazer login (o link é válido apenas uma vez):
Thank you for confirming your %store_name account.,Obrigado por confirmar a sua conta %store_name.
Proceed through checkout faster,Proceder ao checkout mais rápido
Check the status of orders,Verificar o estado das encomendas
View past orders,Ver encomendas passadas
Store alternative addresses (for shipping to multiple family members and friends),Armazene endereços alternativos (para enviar para vários membros da família e amigos)
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Para iniciar sessão no nosso site e definir uma palavra-passe, clique no link <a href=""%create_password_url""> </a>:"
Thank you for your order from %store_name.,Obrigado pela sua encomenda de %store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Você pode verificar o status de seu pedido por <a href=""%account_url""> login em sua conta </a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se você tiver dúvidas sobre seu pedido, envie um e-mail para <a href=""mailto:%store_email"">% store_email </a>."
Your Credit Memo #%creditmemo_id for Order #%order_id,A sua nota de crédito #% creditmemo_id para o pedido #% order_id
Billing Info,Informação de pagamento
Shipping Info,Informação de Envio
Payment Method,Método de pagamento
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Sua ordem #% increment_id foi atualizada com um status de <strong>% order_status </ strong>.
About Us,Sobre nós
Customer Service,Serviço ao cliente
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Horas de Operação: <br /> <span class = ""no-link"">% store_hours </ span>."
Your Invoice #%invoice_id for Order #%order_id,A sua fatura #% invoice_id para Order #% order_id
Once your package ships we will send you a tracking number.,Uma vez que seu pacote envia nós lhe enviaremos um número de rastreamento.
"Your Order <span class=""no-link"">#%increment_id</span>","Sua ordem <span class = ""no-link""> #% increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","Colocado em <span class = ""no-link"">% created_at </ span>"
There was recently a request to change the password for your account.,"Recentemente, houve um pedido para alterar a senha da sua conta."
"If you requested this change, set a new password here:","Se você solicitou essa alteração, defina uma nova senha aqui:"
Set a New Password,Definir uma nova senha
"If you did not make this request, you can ignore this email and your password will remain the same.","Se você não fez este pedido, você pode ignorar este e-mail e sua senha permanecerá a mesma."
The password for your account has been successfully changed.,A senha da sua conta foi alterada com êxito.
"If you did not request this change, please contact us.","Se você não solicitou essa alteração, entre em contato conosco."
"%name,","%nome,"
%sender_name wants to share this product with you:,% Sender_name deseja compartilhar este produto com você:
Message from %sender_name:,Mensagem de% sender_name:
%customer_name wants to share this Wish List from %store_name with you:,% Customer_name deseja compartilhar esta lista de desejos de %store_name com você:
Message from %customer_name:,Mensagem de% customer_name:
Your shipping confirmation is below. Thank you again for your business.,Sua confirmação de entrega esta abaixo. Obrigado novamente pelo seu negócio.
Your Shipment #%shipment_id for Order #%order_id,Sua remessa #% shipment_id para a ordem #% order_id
Thank you for subscribing to our newsletter.,Obrigado por subscrever a nossa newsletter.
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Para começar a receber o boletim, você deve primeiro confirmar sua assinatura clicando no seguinte link:"
You have been successfully subscribed to our newsletter.,Você foi assinado com sucesso em nossa newsletter.
Welcome to,Bem-vindo ao
Please confirm your,Confirme sua
account,conta
Credit memo for your,Nota de crédito da sua
Update to your,Atualização para sua
credit memo,nota de crédito
Footer,Rodapé
Invoice for your,Fatura para a sua
order,ordem
Update to your,Atualização para sua
invoice,fatura
Your,Seu
order confirmation,confirmação de encomenda
Update to your,Atualizar para sua
order,ordem %store_name
Reset your,Redefinir sua
password,senha
password has been changed,senha foi alterada
Products price changed alert,Alerta de preços de produtos alterados
order has shipped,ordem foi enviada
Take a look at {{var customerName}}'s Wish List,Dê uma olhada na Lista de Desejos de {{var customerName}}
Update to your,Atualização para a
shipment,remessa de
Products back in stock alert,Produtos voltar no estoque
Newsletter subscription confirmation,Boletim de confirmação
Newsletter subscription success,Subscrição Newsletter sucesso
Newsletter unsubscription success,Sucesso do cancelamento do boletim informativo
New Vendor Product Approval Notification,Nova Notificação de Aprovação de Produto do Fornecedor
The following Product is Approve by site administrator,O seguinte produto é aprovado pelo administrador do site
Identity Proof request from,Pedido de Identity Proof
First Name,Primeiro nome
Last Name,Último nome
Application Confirmation from,Confirmação da aplicação de
Account confirmation for,Confirmação da conta para
Application Rejected at,Aplicação Rejeitada em
Your application request was rejected,Sua solicitação de aplicativo foi rejeitada
due to the following reason,Devido ao seguinte motivo
has invited you to Join Cibilia.com as Vendor,Convidou você para se juntar Cibilia.com como fornecedor
Motivational Quote,Citações inspiradores
Regards,"Atenciosamente,"
Verify Now,Verifique agora
Verification Link,Link de verificação
"To verify your information, click on the link below","Para verificar as suas informações, clique no link abaixo"
has invited you to Join Cibilia.com as Vendor. His Motivation Quote is as follows,Convidou você para se juntar Cibilia.com como fornecedor.Sua Motivação Citação é a seguinte
Vendor Type Selection Email  for,Seleção de tipo de fornecedor Email para
to select  your vendor type,Para selecionar o tipo de fornecedor
Product Sku,Referência do produto:
Product Name,Nome do Produto
The following Cibilian Product is Approve by site administrator,O seguinte produto Cibilian é aprovado pelo administrador do site
Identity Proof Approval for,Aprovação de Prova de Identidade para
Identity Proof request from,Pedido de Identity Proof
Your Identity Proof has been approved,Sua Prova de Identidade foi aprovada
Product Approval Notification,Notificação de Aprovação do Produto
Cibilian Name,Cibilian Nome
Cibilian Email,E-mail Cibilian
Withdrawl request from,Pedido de retirada de
has submitted withdrawal request for amount,Apresentou um pedido de levantamento de montante
Vendor Type Updated for,Tipo de fornecedor Atualizado para
has updated their vendor type as,Atualizou seu tipo de fornecedor como
Payment Transaction Failed Reminder,Lembrete de falha na transação de pagamento
Contact Form,Formulário de Contato
Products price changed alert,Alerta de preços de produtos alterados
Products back in stock alert,Produtos voltar no estoque
New Shipment Request for Order,Novo pedido de remessa para pedido
From,De
Update,Atualizar
Vendor password reset instructions from,Instruções de redefinição de senha do fornecedor de
Statement for,Declaração para
Low stock products notification,Notificação de baixo estoque de produtos
Question replied by vendor,Pergunta respondida pelo fornecedor
New Question,Nova pergunta
for Shipment #,Para expedição #
for Product,Para o produto
Question replied by vendor,Pergunta respondida pelo fornecedor
Approved products notification,Notificação de produtos aprovados
Approved products notification for,Notificação de produtos aprovados para
Fix products notification,Corrigir notificação de produtos
Fix products notification for,Corrigir notificação de produtos para
Pending products notification,Notificação de produtos pendentes
Pending products notification for,Notificação de produtos pendentes para
Account confirmation for,Confirmação da conta para 
At,No
Application Rejected at,Aplicação Rejeitada em
